series,pcgs_id,name,designation,mint_type
First Spouses (2007 to Date),150886,"2007-W $10 M Washington",MS,MS
First Spouses (2007 to Date),150888,"2007-W $10 Abigail Adams",MS,MS
First Spouses (2007 to Date),152119,"2007-W $10 Jefferson's Liberty",MS,MS
First Spouses (2007 to Date),152121,"2007-W $10 Dolley Madison",MS,MS
First Spouses (2007 to Date),152122,"2007-W $10 Dolley Madison First Strike","DMPL",MS
First Spouses (2007 to Date),395696,"2008-W $10 Elizabeth Monroe",MS,MS
First Spouses (2007 to Date),395698,"2008-W $10 Louisa Adams",MS,MS
First Spouses (2007 to Date),395700,"2008-W $10 Jackson's Liberty",MS,MS
First Spouses (2007 to Date),395702,"2008-W $10 Van Buren's Liberty",MS,MS
First Spouses (2007 to Date),404564,"2009-W $10 Anna Harrison",MS,MS
First Spouses (2007 to Date),404566,"2009-W $10 Letitia Tyler",MS,MS
First Spouses (2007 to Date),404568,"2009-W $10 Julia Tyler",MS,MS
First Spouses (2007 to Date),404570,"2009-W $10 Sarah Polk",MS,MS
First Spouses (2007 to Date),404572,"2009-W $10 Margaret Taylor",MS,MS
First Spouses (2007 to Date),826925,"2020-W $10 Barbara Bush",MS,MS
First Spouses (2007 to Date),418377,"2010-W $10 Abigail Fillmore",MS,MS
First Spouses (2007 to Date),418379,"2010-W $10 Jane Pierce",MS,MS
First Spouses (2007 to Date),418381,"2010-W $10 Buchanan's Liberty",MS,MS
First Spouses (2007 to Date),418383,"2010-W $10 Mary Lincoln",MS,MS
First Spouses (2007 to Date),506966,"2011-W $10 Eliza Johnson",MS,MS
First Spouses (2007 to Date),506967,"2011-W $10 Julia Grant",MS,MS
First Spouses (2007 to Date),506968,"2011-W $10 Lucy Hayes",MS,MS
First Spouses (2007 to Date),506969,"2011-W $10 Lucretia Garfield",MS,MS
First Spouses (2007 to Date),512919,"2012-W $10 Alice Paul",MS,MS
First Spouses (2007 to Date),512921,"2012-W $10 Frances Cleveland 1st",MS,MS
First Spouses (2007 to Date),512926,"2012-W $10 Caroline Harrison",MS,MS
First Spouses (2007 to Date),512928,"2012-W $10 Frances Cleveland 2nd",MS,MS
First Spouses (2007 to Date),518111,"2013-W $10 Ida McKinley",MS,MS
First Spouses (2007 to Date),522832,"2013-W $10 Ida McKinley First Strike Mercanti Signature",MS,MS
First Spouses (2007 to Date),518113,"2013-W $10 Edith Roosevelt",MS,MS
First Spouses (2007 to Date),522952,"2013-W $10 Edith Roosevelt First Strike Merchanti Signature",MS,MS
