series,pcgs_id,name,designation,mint_type
Gold Buffalos (2006 to Date),9999,"2006 $50 .9999 Fine",MS,MS
Gold Buffalos (2006 to Date),149121,"2007 $50 .9999 Fine",MS,MS
Gold Buffalos (2006 to Date),149122,"2007 $50 FS .9999 Fine",MS,MS
Gold Buffalos (2006 to Date),393327,"2008 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),413934,"2009 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),418863,"2010 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),506883,"2011 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),511521,"2012 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),516502,"2013 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),521929,"2014 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),535963,"2015 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),593803,"2016 $50 Am. Buffalo 10th Anniv. .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),616693,"2017 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),619675,"2017 $50 American Buffalo .9999 Fine Gold First Day of Issue",MS,MS
Gold Buffalos (2006 to Date),658586,"2018 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),688647,"2019 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),811469,"2020 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),844923,"2021 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),897009,"2022 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),915084,"2023 $50 American Buffalo .9999 Fine Gold",MS,MS
Gold Buffalos (2006 to Date),937005,"2024 $50 American Buffalo .9999 Fine Gold First Day of Issue David Hall",MS,MS
Gold Buffalos (2006 to Date),9990,"2006-W $50 .9999 Fine",DCAM,PR
Gold Buffalos (2006 to Date),149583,"2007-W $50 .9999 Fine",DCAM,PR
