series,pcgs_id,name,designation,mint_type
Platinum Eagles (1997 to Date),99754,"1997 $10",MS,MS
Platinum Eagles (1997 to Date),9765,"1998 $10",MS,MS
Platinum Eagles (1997 to Date),9773,"1999 $10",MS,MS
Platinum Eagles (1997 to Date),9779,"2000 $10",MS,MS
Platinum Eagles (1997 to Date),9786,"2001 $10",MS,MS
Platinum Eagles (1997 to Date),9794,"2002 $10",MS,MS
Platinum Eagles (1997 to Date),21100,"2003 $10",MS,MS
Platinum Eagles (1997 to Date),21104,"2004 $10",MS,MS
Platinum Eagles (1997 to Date),21108,"2005 $10",MS,MS
Platinum Eagles (1997 to Date),821116,"2006 $10",MS,MS
Platinum Eagles (1997 to Date),146922,"2007 $10",MS,MS
Platinum Eagles (1997 to Date),393104,"2008 $10 Statue of Liberty",MS,MS
Platinum Eagles (1997 to Date),99753,"1997 $25",MS,MS
Platinum Eagles (1997 to Date),9766,"1998 $25",MS,MS
Platinum Eagles (1997 to Date),9774,"1999 $25",MS,MS
Platinum Eagles (1997 to Date),9780,"2000 $25",MS,MS
Platinum Eagles (1997 to Date),9787,"2001 $25",MS,MS
Platinum Eagles (1997 to Date),9795,"2002 $25",MS,MS
Platinum Eagles (1997 to Date),21101,"2003 $25",MS,MS
Platinum Eagles (1997 to Date),21105,"2004 $25",MS,MS
Platinum Eagles (1997 to Date),21109,"2005 $25",MS,MS
Platinum Eagles (1997 to Date),821117,"2006 $25",MS,MS
Platinum Eagles (1997 to Date),146924,"2007 $25",MS,MS
Platinum Eagles (1997 to Date),393106,"2008 $25 Statue of Liberty",MS,MS
Platinum Eagles (1997 to Date),99752,"1997 $50",MS,MS
Platinum Eagles (1997 to Date),9767,"1998 $50",MS,MS
Platinum Eagles (1997 to Date),9775,"1999 $50",MS,MS
Platinum Eagles (1997 to Date),9781,"2000 $50",MS,MS
Platinum Eagles (1997 to Date),9788,"2001 $50",MS,MS
Platinum Eagles (1997 to Date),9796,"2002 $50",MS,MS
Platinum Eagles (1997 to Date),21102,"2003 $50",MS,MS
