series,pcgs_id,name,designation
Lincoln Cent (Modern) (1959 to Date),2854,1959,RD
Lincoln Cent (Modern) (1959 to Date),2857,1959-D,RD
Lincoln Cent (Modern) (1959 to Date),2860,1960 Large Date,RD
Lincoln Cent (Modern) (1959 to Date),2863,1960 Small Date,RD
Lincoln Cent (Modern) (1959 to Date),2866,1960-D Large Date,RD
Lincoln Cent (Modern) (1959 to Date),2869,1960-D Small Date,RD
Lincoln Cent (Modern) (1959 to Date),82867,1960-D/D Small/Large Date,BN
Lincoln Cent (Modern) (1959 to Date),82868,1960-D/D Small/Large Date,RB
Lincoln Cent (Modern) (1959 to Date),82869,1960-D/D Small/Large Date,RD
Lincoln Cent (Modern) (1959 to Date),2872,1961,RD
Lincoln Cent (Modern) (1959 to Date),2875,1961-D,RD
Lincoln Cent (Modern) (1959 to Date),2878,1962,RD
Lincoln Cent (Modern) (1959 to Date),2881,1962-D,RD
Lincoln Cent (Modern) (1959 to Date),2884,1963,RD
Lincoln Cent (Modern) (1959 to Date),2885,1963-D,BN
Lincoln Cent (Modern) (1959 to Date),2886,1963-D,RB
Lincoln Cent (Modern) (1959 to Date),2887,1963-D,RD
Lincoln Cent (Modern) (1959 to Date),2888,1964,BN
Lincoln Cent (Modern) (1959 to Date),2889,1964,RB
Lincoln Cent (Modern) (1959 to Date),2890,1964,RD
Lincoln Cent (Modern) (1959 to Date),2892,1964-D,RB
Lincoln Cent (Modern) (1959 to Date),2893,1964-D,RD
Lincoln Cent (Modern) (1959 to Date),2896,1965,RD
Lincoln Cent (Modern) (1959 to Date),2898,1966,BN
Lincoln Cent (Modern) (1959 to Date),2899,1966,RB
Lincoln Cent (Modern) (1959 to Date),2900,1966,RD
Lincoln Cent (Modern) (1959 to Date),2902,1967,RD
Lincoln Cent (Modern) (1959 to Date),2905,1968,RD
Lincoln Cent (Modern) (1959 to Date),2908,1968-D,RD
Lincoln Cent (Modern) (1959 to Date),133730,1968-S,RB
Lincoln Cent (Modern) (1959 to Date),2909,1968-S,RD
Lincoln Cent (Modern) (1959 to Date),2914,1969,RD
Lincoln Cent (Modern) (1959 to Date),37993,1969-D,BN
Lincoln Cent (Modern) (1959 to Date),2916,1969-D,RB
Lincoln Cent (Modern) (1959 to Date),2917,1969-D,RD
Lincoln Cent (Modern) (1959 to Date),2920,1969-S,RD
Lincoln Cent (Modern) (1959 to Date),2921,"1969-S Doubled Die Obverse about 30 known",BN
Lincoln Cent (Modern) (1959 to Date),2922,1969-S Doubled Die Obverse,RB
Lincoln Cent (Modern) (1959 to Date),2923,1969-S Doubled Die Obverse,RD
Lincoln Cent (Modern) (1959 to Date),2932,1970,RD
Lincoln Cent (Modern) (1959 to Date),2929,1970-D,RD
Lincoln Cent (Modern) (1959 to Date),2933,1970-S Small Date,BN
Lincoln Cent (Modern) (1959 to Date),2934,1970-S Small Date,RB
Lincoln Cent (Modern) (1959 to Date),2935,1970-S Small Date,RD
Lincoln Cent (Modern) (1959 to Date),2937,1970-S Large Date,BN
Lincoln Cent (Modern) (1959 to Date),2938,1970-S Large Date,RB
Lincoln Cent (Modern) (1959 to Date),2939,1970-S Large Date,RD
