series,pcgs_id,name,designation,mint_type
Coronet Head Cent (1816-1839),1591,1816,BN,MS
Coronet Head Cent (1816-1839),1592,1816,RB,MS
Coronet Head Cent (1816-1839),1593,1816,RD,MS
Coronet Head Cent (1816-1839),1594,1817 13 Stars,BN,MS
Coronet Head Cent (1816-1839),1595,1817 13 Stars,RB,MS
Coronet Head Cent (1816-1839),1596,1817 13 Stars,RD,MS
Coronet Head Cent (1816-1839),1597,1817 15 Stars,BN,MS
Coronet Head Cent (1816-1839),1598,1817 15 Stars,RB,MS
Coronet Head Cent (1816-1839),1600,1818,BN,MS
Coronet Head Cent (1816-1839),1601,1818,RB,MS
Coronet Head Cent (1816-1839),1602,1818,RD,MS
Coronet Head Cent (1816-1839),1603,1819/(8) Large Date,BN,MS
Coronet Head Cent (1816-1839),1604,1819/(8) Large Date,RB,MS
Coronet Head Cent (1816-1839),1605,1819/(8) Large Date,RD,MS
Coronet Head Cent (1816-1839),1606,1819 Small Date,BN,MS
Coronet Head Cent (1816-1839),1607,1819 Small Date,RB,MS
Coronet Head Cent (1816-1839),1608,1819 Small Date,RD,MS
Coronet Head Cent (1816-1839),1612,1819/8,BN,MS
Coronet Head Cent (1816-1839),1613,1819/8,RB,MS
Coronet Head Cent (1816-1839),1615,1820 Large Date,BN,MS
Coronet Head Cent (1816-1839),1616,1820 Large Date,RB,MS
Coronet Head Cent (1816-1839),1617,1820 Large Date,RD,MS
Coronet Head Cent (1816-1839),1618,1820/19,BN,MS
Coronet Head Cent (1816-1839),1619,1820/19,RB,MS
Coronet Head Cent (1816-1839),91615,1820 Small Date,BN,MS
Coronet Head Cent (1816-1839),91616,1820 Small Date,RB,MS
Coronet Head Cent (1816-1839),1621,1821,BN,MS
Coronet Head Cent (1816-1839),1622,1821,RB,MS
Coronet Head Cent (1816-1839),1623,1821,RD,MS
Coronet Head Cent (1816-1839),1624,1822,BN,MS
Coronet Head Cent (1816-1839),1625,1822,RB,MS
Coronet Head Cent (1816-1839),1627,1823,BN,MS
Coronet Head Cent (1816-1839),81627,1823 Private Restrike,BN,MS
Coronet Head Cent (1816-1839),81629,1823 Private Restrike,RB,MS
Coronet Head Cent (1816-1839),402638,1823 Private Restrike Silver,"MS +",MS
Coronet Head Cent (1816-1839),1630,1823/2,BN,MS
Coronet Head Cent (1816-1839),1636,1824,BN,MS
Coronet Head Cent (1816-1839),1637,1824,RB,MS
Coronet Head Cent (1816-1839),1639,1824/2,BN,MS
Coronet Head Cent (1816-1839),1642,1825,BN,MS
Coronet Head Cent (1816-1839),1643,1825,RB,MS
Coronet Head Cent (1816-1839),1645,1826,BN,MS
Coronet Head Cent (1816-1839),1646,1826,RB,MS
Coronet Head Cent (1816-1839),1648,1826/5,BN,MS
Coronet Head Cent (1816-1839),1651,1827,BN,MS
Coronet Head Cent (1816-1839),1652,1827,RB,MS
Coronet Head Cent (1816-1839),1654,1828 Large Narrow Date,BN,MS
Coronet Head Cent (1816-1839),1655,1828 Large Narrow Date,RB,MS
Coronet Head Cent (1816-1839),1657,1828 Small Wide Date,BN,MS
Coronet Head Cent (1816-1839),1658,1828 Small Wide Date,RB,MS
Coronet Head Cent (1816-1839),1663,1829 Large Letters,BN,MS
Coronet Head Cent (1816-1839),1664,1829 Large Letters,RB,MS
Coronet Head Cent (1816-1839),1666,1829 Medium Letters,BN,MS
Coronet Head Cent (1816-1839),1672,1830 Large Letters,BN,MS
Coronet Head Cent (1816-1839),1673,1830 Large Letters,RB,MS
Coronet Head Cent (1816-1839),1675,1830 Medium Letters,BN,MS
Coronet Head Cent (1816-1839),1678,1831 Large Letters,BN,MS
Coronet Head Cent (1816-1839),1679,1831 Large Letters,RB,MS
Coronet Head Cent (1816-1839),1681,1831 Medium Letters,BN,MS
Coronet Head Cent (1816-1839),1682,1831 Medium Letters,RB,MS
Coronet Head Cent (1816-1839),1687,1832 Large Letters,BN,MS
Coronet Head Cent (1816-1839),1688,1832 Large Letters,RB,MS
Coronet Head Cent (1816-1839),1690,1832 Medium Letters,BN,MS
Coronet Head Cent (1816-1839),1691,1832 Medium Letters,RB,MS
Coronet Head Cent (1816-1839),1696,1833,BN,MS
Coronet Head Cent (1816-1839),1697,1833,RB,MS
Coronet Head Cent (1816-1839),1698,1833,RD,MS
Coronet Head Cent (1816-1839),1699,"1834 Lg 8, Sm Stars, Med Let",BN,MS
Coronet Head Cent (1816-1839),1700,1834 Lg 8 Sm Stars Med Let,RB,MS
Coronet Head Cent (1816-1839),1702,"1834 Lg 8, Lg Stars, Med Lt",BN,MS
Coronet Head Cent (1816-1839),1703,1834 Lg 8 Lg Stars Med Let,RB,MS
Coronet Head Cent (1816-1839),1705,1834 Large Letter Reverse,BN,MS
Coronet Head Cent (1816-1839),1706,1834 Large Letter Reverse,RB,MS
Coronet Head Cent (1816-1839),1708,1834 Small 8,BN,MS
Coronet Head Cent (1816-1839),1709,1834 Small 8,RB,MS
Coronet Head Cent (1816-1839),1714,1835 Head of 1836,BN,MS
Coronet Head Cent (1816-1839),1715,1835 Head Of 1836,RB,MS
Coronet Head Cent (1816-1839),1717,"1835 Small 8, Stars",BN,MS
Coronet Head Cent (1816-1839),1718,"1835 Small 8, Stars",RB,MS
Coronet Head Cent (1816-1839),1720,"1835 Large 8, Stars",BN,MS
Coronet Head Cent (1816-1839),1721,"1835 Large 8, Stars",RB,MS
Coronet Head Cent (1816-1839),1726,1836,BN,MS
Coronet Head Cent (1816-1839),1727,1836,RB,MS
Coronet Head Cent (1816-1839),1728,1836,RD,MS
Coronet Head Cent (1816-1839),1729,1837 Beaded Cords,BN,MS
Coronet Head Cent (1816-1839),1730,1837 Beaded Cords,RB,MS
Coronet Head Cent (1816-1839),1732,"1837 Plain Cords, Small Letters",BN,MS
Coronet Head Cent (1816-1839),1733,"1837 Plain Cords, Small Letters",RB,MS
Coronet Head Cent (1816-1839),1735,"1837 Plain Cords, Medium Letters",BN,MS
Coronet Head Cent (1816-1839),1736,"1837 Plain Cords, Medium Letters",RB,MS
Coronet Head Cent (1816-1839),1737,"1837 Plain Cords, Medium Letters",RD,MS
Coronet Head Cent (1816-1839),1741,1838,BN,MS
Coronet Head Cent (1816-1839),1742,1838,RB,MS
Coronet Head Cent (1816-1839),1743,1838,RD,MS
Coronet Head Cent (1816-1839),1744,1839 Head of 1838,BN,MS
Coronet Head Cent (1816-1839),1745,1839 Head of 1838,RB,MS
Coronet Head Cent (1816-1839),1748,1839 Silly Head,BN,MS
Coronet Head Cent (1816-1839),1749,1839 Silly Head,RB,MS
Coronet Head Cent (1816-1839),1750,1839 Silly Head,RD,MS
Coronet Head Cent (1816-1839),1751,1839 Booby Head,BN,MS
Coronet Head Cent (1816-1839),1752,1839 Booby Head,RB,MS
Coronet Head Cent (1816-1839),1753,1839 Booby Head,RD,MS
Coronet Head Cent (1816-1839),1756,1839/6,BN,MS
Coronet Head Cent (1816-1839),1762,1817,BN,PR
Coronet Head Cent (1816-1839),81768,1819/8,BN,PR
Coronet Head Cent (1816-1839),1771,"1821 12-15 known",BN,PR
Coronet Head Cent (1816-1839),1772,1821,RB,PR
Coronet Head Cent (1816-1839),1774,"1822 12-15 known",BN,PR
Coronet Head Cent (1816-1839),1775,1822,RB,PR
Coronet Head Cent (1816-1839),1776,1822,RD,PR
Coronet Head Cent (1816-1839),1777,"1823/2 5 known",BN,PR
Coronet Head Cent (1816-1839),1780,"1824 4 known",BN,PR
Coronet Head Cent (1816-1839),1786,1827,BN,PR
Coronet Head Cent (1816-1839),1787,1827,RB,PR
Coronet Head Cent (1816-1839),1792,"1829 Bronzed Est. 10 known","PR +",PR
Coronet Head Cent (1816-1839),37264,1829,BN,PR
Coronet Head Cent (1816-1839),1793,1829,RB,PR
Coronet Head Cent (1816-1839),91792,1830,BN,PR
Coronet Head Cent (1816-1839),91793,1830,RB,PR
Coronet Head Cent (1816-1839),1796,"1831 15 to 20 known",BN,PR
Coronet Head Cent (1816-1839),1797,1831,RB,PR
Coronet Head Cent (1816-1839),1798,1831,RD,PR
Coronet Head Cent (1816-1839),51796,1832,BN,PR
Coronet Head Cent (1816-1839),51797,1832,RB,PR
Coronet Head Cent (1816-1839),51798,1832,RD,PR
Coronet Head Cent (1816-1839),1799,"1834 12 to 16 known",BN,PR
Coronet Head Cent (1816-1839),1800,1834,RB,PR
Coronet Head Cent (1816-1839),1801,1834,RD,PR
Coronet Head Cent (1816-1839),1805,1836,BN,PR
Coronet Head Cent (1816-1839),1806,"1836 6-8 known",RB,PR
Coronet Head Cent (1816-1839),1808,"1837 10-12 known",BN,PR
Coronet Head Cent (1816-1839),91809,1837 Newcomb 10 Head of 1838,RB,PR
Coronet Head Cent (1816-1839),1811,"1838 Est. 12 known",BN,PR
Coronet Head Cent (1816-1839),1812,1838,RB,PR
Coronet Head Cent (1816-1839),1813,1838,RD,PR
