series,pcgs_id,name,designation
Barber Dime (1892-1916),4796,1892,MS
Barber Dime (1892-1916),893187,1892,PL
Barber Dime (1892-1916),4797,1892-O,MS
Barber Dime (1892-1916),4798,1892-S,MS
Barber Dime (1892-1916),4800,1893,MS
Barber Dime (1892-1916),4799,1893/2,MS
Barber Dime (1892-1916),4801,1893-O,MS
Barber Dime (1892-1916),84801,1893-O,PL
Barber Dime (1892-1916),4802,1893-S,MS
Barber Dime (1892-1916),4803,1894,MS
Barber Dime (1892-1916),4804,1894-O,MS
Barber Dime (1892-1916),4806,1895,MS
Barber Dime (1892-1916),4807,1895-O,MS
Barber Dime (1892-1916),4808,1895-S,MS
Barber Dime (1892-1916),4809,1896,MS
Barber Dime (1892-1916),778976,1896,PL
Barber Dime (1892-1916),4810,1896-O,MS
Barber Dime (1892-1916),4811,1896-S,MS
Barber Dime (1892-1916),4812,1897,MS
Barber Dime (1892-1916),4813,1897-O,MS
Barber Dime (1892-1916),4814,1897-S,MS
Barber Dime (1892-1916),4815,1898,MS
Barber Dime (1892-1916),4816,1898-O,MS
Barber Dime (1892-1916),4817,1898-S,MS
Barber Dime (1892-1916),4818,1899,MS
Barber Dime (1892-1916),4819,1899-O,MS
Barber Dime (1892-1916),4820,1899-S,MS
Barber Dime (1892-1916),779015,1899-S,PL
Barber Dime (1892-1916),4821,1900,MS
Barber Dime (1892-1916),4822,1900-O,MS
Barber Dime (1892-1916),4823,1900-S,MS
Barber Dime (1892-1916),4824,1901,MS
Barber Dime (1892-1916),4825,1901-O,MS
Barber Dime (1892-1916),4826,1901-S,MS
Barber Dime (1892-1916),4827,1902,MS
Barber Dime (1892-1916),4828,1902-O,MS
Barber Dime (1892-1916),4829,1902-S,MS
Barber Dime (1892-1916),4830,1903,MS
Barber Dime (1892-1916),4831,1903-O,MS
Barber Dime (1892-1916),4832,1903-S,MS
Barber Dime (1892-1916),4833,1904,MS
Barber Dime (1892-1916),4834,1904-S,MS
Barber Dime (1892-1916),4835,1905,MS
Barber Dime (1892-1916),4836,1905-O,MS
Barber Dime (1892-1916),94836,1905-O Micro O,MS
Barber Dime (1892-1916),4837,1905-S,MS
Barber Dime (1892-1916),4838,1906,MS
Barber Dime (1892-1916),4839,1906-D,MS
Barber Dime (1892-1916),4840,1906-O,MS
Barber Dime (1892-1916),4841,1906-S,MS
Barber Dime (1892-1916),4842,1907,MS
Barber Dime (1892-1916),4843,1907-D,MS
Barber Dime (1892-1916),4844,1907-O,MS
Barber Dime (1892-1916),4845,1907-S,MS
Barber Dime (1892-1916),4846,1908,MS
Barber Dime (1892-1916),4847,1908-D,MS
Barber Dime (1892-1916),4848,1908-O,MS
Barber Dime (1892-1916),4849,1908-S,MS
Barber Dime (1892-1916),4850,1909,MS
Barber Dime (1892-1916),4851,1909-D,MS
Barber Dime (1892-1916),4852,1909-O,MS
Barber Dime (1892-1916),4853,1909-S,MS
Barber Dime (1892-1916),4854,1910,MS
Barber Dime (1892-1916),4855,1910-D,MS
Barber Dime (1892-1916),4856,1910-S,MS
Barber Dime (1892-1916),4857,1911,MS
Barber Dime (1892-1916),4858,1911-D,MS
Barber Dime (1892-1916),4859,1911-S,MS
Barber Dime (1892-1916),4860,1912,MS
Barber Dime (1892-1916),4861,1912-D,MS
Barber Dime (1892-1916),4862,1912-S,MS
Barber Dime (1892-1916),4863,1913,MS
Barber Dime (1892-1916),4864,1913-S,MS
Barber Dime (1892-1916),4865,1914,MS
Barber Dime (1892-1916),4866,1914-D,MS
Barber Dime (1892-1916),4867,1914-S,MS
Barber Dime (1892-1916),4868,1915,MS
Barber Dime (1892-1916),4869,1915-S,MS
Barber Dime (1892-1916),4870,1916,MS
Barber Dime (1892-1916),4871,1916-S,MS
