series,pcgs_id,name,designation,mint_type
Mercury Dime (1916-1945),4904,1916 Mercury,MS,MS
Mercury Dime (1916-1945),4905,1916 Mercury,FB,MS
Mercury Dime (1916-1945),4906,1916-D,MS,MS
Mercury Dime (1916-1945),4907,1916-D,FB,MS
Mercury Dime (1916-1945),4908,1916-S Mercury,MS,MS
Mercury Dime (1916-1945),4909,1916-S Mercury,FB,MS
Mercury Dime (1916-1945),4910,1917,MS,MS
Mercury Dime (1916-1945),4911,1917,FB,MS
Mercury Dime (1916-1945),4912,1917-D,MS,MS
Mercury Dime (1916-1945),4913,1917-D,FB,MS
Mercury Dime (1916-1945),4914,1917-S,MS,MS
Mercury Dime (1916-1945),4915,1917-S,FB,MS
Mercury Dime (1916-1945),4916,1918,MS,MS
Mercury Dime (1916-1945),4917,1918,FB,MS
Mercury Dime (1916-1945),4918,1918-D,MS,MS
Mercury Dime (1916-1945),4919,1918-D,FB,MS
Mercury Dime (1916-1945),4920,1918-S,MS,MS
Mercury Dime (1916-1945),4921,1918-S,FB,MS
Mercury Dime (1916-1945),4922,1919,MS,MS
Mercury Dime (1916-1945),4923,1919,FB,MS
Mercury Dime (1916-1945),4924,1919-D,MS,MS
Mercury Dime (1916-1945),4925,1919-D,FB,MS
Mercury Dime (1916-1945),4926,1919-S,MS,MS
Mercury Dime (1916-1945),4927,1919-S,FB,MS
Mercury Dime (1916-1945),4928,1920,MS,MS
Mercury Dime (1916-1945),4929,1920,FB,MS
Mercury Dime (1916-1945),4930,1920-D,MS,MS
Mercury Dime (1916-1945),4931,1920-D,FB,MS
Mercury Dime (1916-1945),4932,1920-S,MS,MS
Mercury Dime (1916-1945),4933,1920-S,FB,MS
Mercury Dime (1916-1945),4934,1921,MS,MS
Mercury Dime (1916-1945),4935,1921,FB,MS
Mercury Dime (1916-1945),4936,1921-D,MS,MS
Mercury Dime (1916-1945),4937,1921-D,FB,MS
Mercury Dime (1916-1945),4938,1923,MS,MS
Mercury Dime (1916-1945),4939,1923,FB,MS
Mercury Dime (1916-1945),4940,1923-S,MS,MS
Mercury Dime (1916-1945),4941,1923-S,FB,MS
Mercury Dime (1916-1945),4942,1924,MS,MS
Mercury Dime (1916-1945),4943,1924,FB,MS
Mercury Dime (1916-1945),4944,1924-D,MS,MS
Mercury Dime (1916-1945),4945,1924-D,FB,MS
Mercury Dime (1916-1945),4946,1924-S,MS,MS
Mercury Dime (1916-1945),4947,1924-S,FB,MS
Mercury Dime (1916-1945),4948,1925,MS,MS
Mercury Dime (1916-1945),4949,1925,FB,MS
Mercury Dime (1916-1945),4950,1925-D,MS,MS
Mercury Dime (1916-1945),4951,1925-D,FB,MS
Mercury Dime (1916-1945),4952,1925-S,MS,MS
Mercury Dime (1916-1945),4953,1925-S,FB,MS
Mercury Dime (1916-1945),4954,1926,MS,MS
Mercury Dime (1916-1945),4955,1926,FB,MS
Mercury Dime (1916-1945),4956,1926-D,MS,MS
Mercury Dime (1916-1945),4957,1926-D,FB,MS
Mercury Dime (1916-1945),4958,1926-S,MS,MS
Mercury Dime (1916-1945),4959,1926-S,FB,MS
Mercury Dime (1916-1945),4960,1927,MS,MS
Mercury Dime (1916-1945),4961,1927,FB,MS
Mercury Dime (1916-1945),4962,1927-D,MS,MS
Mercury Dime (1916-1945),4963,1927-D,FB,MS
Mercury Dime (1916-1945),4964,1927-S,MS,MS
Mercury Dime (1916-1945),4965,1927-S,FB,MS
Mercury Dime (1916-1945),4966,1928,MS,MS
Mercury Dime (1916-1945),4967,1928,FB,MS
Mercury Dime (1916-1945),4968,1928-D,MS,MS
Mercury Dime (1916-1945),4969,1928-D,FB,MS
Mercury Dime (1916-1945),4970,1928-S,MS,MS
Mercury Dime (1916-1945),4971,1928-S,FB,MS
Mercury Dime (1916-1945),4972,1929,MS,MS
Mercury Dime (1916-1945),4973,1929,FB,MS
Mercury Dime (1916-1945),4974,1929-D,MS,MS
Mercury Dime (1916-1945),4975,1929-D,FB,MS
Mercury Dime (1916-1945),4976,1929-S,MS,MS
Mercury Dime (1916-1945),4977,1929-S,FB,MS
Mercury Dime (1916-1945),4978,1930,MS,MS
Mercury Dime (1916-1945),4979,1930,FB,MS
Mercury Dime (1916-1945),4980,1930-S,MS,MS
Mercury Dime (1916-1945),4981,1930-S,FB,MS
Mercury Dime (1916-1945),4982,1931,MS,MS
Mercury Dime (1916-1945),4983,1931,FB,MS
Mercury Dime (1916-1945),4984,1931-D,MS,MS
Mercury Dime (1916-1945),4985,1931-D,FB,MS
Mercury Dime (1916-1945),4986,1931-S,MS,MS
Mercury Dime (1916-1945),4987,1931-S,FB,MS
Mercury Dime (1916-1945),4988,1934,MS,MS
Mercury Dime (1916-1945),4989,1934,FB,MS
Mercury Dime (1916-1945),4990,1934-D,MS,MS
Mercury Dime (1916-1945),4991,1934-D,FB,MS
Mercury Dime (1916-1945),4992,1935,MS,MS
Mercury Dime (1916-1945),4993,1935,FB,MS
Mercury Dime (1916-1945),4994,1935-D,MS,MS
Mercury Dime (1916-1945),4995,1935-D,FB,MS
Mercury Dime (1916-1945),4996,1935-S,MS,MS
Mercury Dime (1916-1945),4997,1935-S,FB,MS
Mercury Dime (1916-1945),4998,1936,MS,MS
Mercury Dime (1916-1945),4999,1936,FB,MS
Mercury Dime (1916-1945),5000,1936-D,MS,MS
Mercury Dime (1916-1945),5001,1936-D,FB,MS
Mercury Dime (1916-1945),5002,1936-S,MS,MS
Mercury Dime (1916-1945),5003,1936-S,FB,MS
Mercury Dime (1916-1945),5004,1937,MS,MS
Mercury Dime (1916-1945),5005,1937,FB,MS
Mercury Dime (1916-1945),5006,1937-D,MS,MS
Mercury Dime (1916-1945),5007,1937-D,FB,MS
Mercury Dime (1916-1945),5008,1937-S,MS,MS
Mercury Dime (1916-1945),5009,1937-S,FB,MS
Mercury Dime (1916-1945),5010,1938,MS,MS
Mercury Dime (1916-1945),5011,1938,FB,MS
Mercury Dime (1916-1945),5012,1938-D,MS,MS
Mercury Dime (1916-1945),5013,1938-D,FB,MS
Mercury Dime (1916-1945),5014,1938-S,MS,MS
Mercury Dime (1916-1945),5015,1938-S,FB,MS
Mercury Dime (1916-1945),5016,1939,MS,MS
Mercury Dime (1916-1945),5017,1939,FB,MS
Mercury Dime (1916-1945),5018,1939-D,MS,MS
Mercury Dime (1916-1945),5019,1939-D,FB,MS
Mercury Dime (1916-1945),5020,1939-S,MS,MS
Mercury Dime (1916-1945),5021,1939-S,FB,MS
Mercury Dime (1916-1945),5022,1940,MS,MS
Mercury Dime (1916-1945),5023,1940,FB,MS
Mercury Dime (1916-1945),5024,1940-D,MS,MS
Mercury Dime (1916-1945),5025,1940-D,FB,MS
Mercury Dime (1916-1945),85025,1940-D,FB PL,MS
Mercury Dime (1916-1945),5026,1940-S,MS,MS
Mercury Dime (1916-1945),5027,1940-S,FB,MS
Mercury Dime (1916-1945),5028,1941,MS,MS
Mercury Dime (1916-1945),5029,1941,FB,MS
Mercury Dime (1916-1945),5030,1941-D,MS,MS
Mercury Dime (1916-1945),5031,1941-D,FB,MS
Mercury Dime (1916-1945),5032,1941-S,MS,MS
Mercury Dime (1916-1945),794786,1941-S,FB PL,MS
Mercury Dime (1916-1945),5033,1941-S,FB,MS
Mercury Dime (1916-1945),5034,1942,MS,MS
Mercury Dime (1916-1945),5035,1942,FB,MS
Mercury Dime (1916-1945),5036,1942/1,MS,MS
Mercury Dime (1916-1945),5037,1942/1,FB,MS
Mercury Dime (1916-1945),5038,1942-D,MS,MS
Mercury Dime (1916-1945),5039,1942-D,FB,MS
Mercury Dime (1916-1945),5040,1942/1-D,MS,MS
Mercury Dime (1916-1945),5041,1942/1-D,FB,MS
Mercury Dime (1916-1945),5042,1942-S,MS,MS
Mercury Dime (1916-1945),5043,1942-S,FB,MS
Mercury Dime (1916-1945),5044,1943,MS,MS
Mercury Dime (1916-1945),5045,1943,FB,MS
Mercury Dime (1916-1945),5046,1943-D,MS,MS
Mercury Dime (1916-1945),5047,1943-D,FB,MS
Mercury Dime (1916-1945),5048,1943-S,MS,MS
Mercury Dime (1916-1945),5049,1943-S,FB,MS
Mercury Dime (1916-1945),85049,1943-S,FB PL,MS
Mercury Dime (1916-1945),5050,1944,MS,MS
Mercury Dime (1916-1945),5051,1944,FB,MS
Mercury Dime (1916-1945),5052,1944-D,MS,MS
Mercury Dime (1916-1945),5053,1944-D,FB,MS
Mercury Dime (1916-1945),5054,1944-S,MS,MS
Mercury Dime (1916-1945),5055,1944-S,FB,MS
Mercury Dime (1916-1945),5056,1945,MS,MS
Mercury Dime (1916-1945),5057,1945,FB,MS
Mercury Dime (1916-1945),510032,1945 FS-101 DDO,MS,MS
Mercury Dime (1916-1945),5058,1945-D,MS,MS
Mercury Dime (1916-1945),5059,1945-D,FB,MS
Mercury Dime (1916-1945),5060,1945-S,MS,MS
Mercury Dime (1916-1945),5061,1945-S,FB,MS
Mercury Dime (1916-1945),5062,1945-S Micro S,MS,MS
Mercury Dime (1916-1945),85062,1945-S Micro S,PL,MS
Mercury Dime (1916-1945),5063,1945-S Micro S,FB,MS
Mercury Dime (1916-1945),5071,1936,PR,PR
Mercury Dime (1916-1945),5072,1937,PR,PR
Mercury Dime (1916-1945),85072,1937,CAM,PR
Mercury Dime (1916-1945),5073,1938,PR,PR
Mercury Dime (1916-1945),5074,1939,PR,PR
Mercury Dime (1916-1945),85074,1939,CAM,PR
Mercury Dime (1916-1945),5075,1940,PR,PR
Mercury Dime (1916-1945),85075,1940,CAM,PR
Mercury Dime (1916-1945),5076,1941,PR,PR
Mercury Dime (1916-1945),85076,1941,CAM,PR
Mercury Dime (1916-1945),5077,1942,PR,PR
Mercury Dime (1916-1945),85077,1942,CAM,PR
