series,pcgs_id,name,designation,mint_type
Liberty Head $20 (1849-1907),8902,1850,MS,MS
Liberty Head $20 (1849-1907),8903,1850-O,MS,MS
Liberty Head $20 (1849-1907),8904,1851,MS,MS
Liberty Head $20 (1849-1907),8905,1851-O,MS,MS
Liberty Head $20 (1849-1907),8906,1852,MS,MS
Liberty Head $20 (1849-1907),8907,1852-O,MS,MS
Liberty Head $20 (1849-1907),8908,1853,MS,MS
Liberty Head $20 (1849-1907),8909,1853/'2',MS,MS
Liberty Head $20 (1849-1907),8910,1853-O,MS,MS
Liberty Head $20 (1849-1907),8911,1854 Small Date,MS,MS
Liberty Head $20 (1849-1907),98911,1854 Large Date,MS,MS
Liberty Head $20 (1849-1907),8912,1854-O 35 to 40 known,MS,MS
Liberty Head $20 (1849-1907),8913,1854-S,MS,MS
Liberty Head $20 (1849-1907),8914,1855,MS,MS
Liberty Head $20 (1849-1907),8915,1855-O,MS,MS
Liberty Head $20 (1849-1907),8916,1855-S,MS,MS
Liberty Head $20 (1849-1907),8917,1856,MS,MS
Liberty Head $20 (1849-1907),8918,1856-O 30 to 40 known,MS,MS
Liberty Head $20 (1849-1907),8919,1856-S,MS,MS
Liberty Head $20 (1849-1907),8920,1857,MS,MS
Liberty Head $20 (1849-1907),8921,1857-O,MS,MS
Liberty Head $20 (1849-1907),88921,1857-O,PL,MS
Liberty Head $20 (1849-1907),8922,1857-S,MS,MS
Liberty Head $20 (1849-1907),70008,1857-S Spiked Shield S.S. Central America #1 Gold Foil,PL,MS
Liberty Head $20 (1849-1907),8923,1858,MS,MS
Liberty Head $20 (1849-1907),8924,1858-O,MS,MS
Liberty Head $20 (1849-1907),8925,1858-S,MS,MS
Liberty Head $20 (1849-1907),8926,1859,MS,MS
Liberty Head $20 (1849-1907),8927,1859-O 75 to 100 known,MS,MS
Liberty Head $20 (1849-1907),8928,1859-S,MS,MS
Liberty Head $20 (1849-1907),8929,1860,MS,MS
Liberty Head $20 (1849-1907),8930,1860-O,MS,MS
Liberty Head $20 (1849-1907),8931,1860-S,MS,MS
Liberty Head $20 (1849-1907),8932,1861,MS,MS
Liberty Head $20 (1849-1907),8933,1861 Paquet Reverse 2 known,MS,MS
Liberty Head $20 (1849-1907),8934,1861-O,MS,MS
Liberty Head $20 (1849-1907),8935,1861-S,MS,MS
Liberty Head $20 (1849-1907),8936,1861-S Paquet,MS,MS
Liberty Head $20 (1849-1907),8937,1862,MS,MS
Liberty Head $20 (1849-1907),8938,1862-S,MS,MS
Liberty Head $20 (1849-1907),8939,1863,MS,MS
Liberty Head $20 (1849-1907),8940,1863-S,MS,MS
Liberty Head $20 (1849-1907),8941,1864,MS,MS
Liberty Head $20 (1849-1907),8942,1864-S,MS,MS
Liberty Head $20 (1849-1907),8943,1865,MS,MS
Liberty Head $20 (1849-1907),8944,1865-S,MS,MS
Liberty Head $20 (1849-1907),8945,1866-S No Motto,MS,MS
Liberty Head $20 (1849-1907),8949,1866 Motto,MS,MS
Liberty Head $20 (1849-1907),8950,1866-S Motto,MS,MS
Liberty Head $20 (1849-1907),8951,1867,MS,MS
Liberty Head $20 (1849-1907),8952,1867-S,MS,MS
Liberty Head $20 (1849-1907),8953,1868,MS,MS
Liberty Head $20 (1849-1907),8954,1868-S,MS,MS
Liberty Head $20 (1849-1907),8955,1869,MS,MS
Liberty Head $20 (1849-1907),8956,1869-S,MS,MS
Liberty Head $20 (1849-1907),8957,1870,MS,MS
Liberty Head $20 (1849-1907),8958,1870-CC 40-50 known,MS,MS
Liberty Head $20 (1849-1907),8959,1870-S,MS,MS
Liberty Head $20 (1849-1907),8960,1871,MS,MS
Liberty Head $20 (1849-1907),8961,1871-CC,MS,MS
Liberty Head $20 (1849-1907),8962,1871-S,MS,MS
Liberty Head $20 (1849-1907),8963,1872,MS,MS
Liberty Head $20 (1849-1907),8964,1872-CC,MS,MS
Liberty Head $20 (1849-1907),8965,1872-S,MS,MS
Liberty Head $20 (1849-1907),8966,1873 Closed 3,MS,MS
Liberty Head $20 (1849-1907),8967,1873 Open 3,MS,MS
Liberty Head $20 (1849-1907),88967,1873 Open 3,PL,MS
Liberty Head $20 (1849-1907),8968,1873-CC,MS,MS
Liberty Head $20 (1849-1907),8969,1873-S Closed 3,MS,MS
Liberty Head $20 (1849-1907),8979,1873-S Open 3,MS,MS
Liberty Head $20 (1849-1907),8970,1874,MS,MS
Liberty Head $20 (1849-1907),8971,1874-CC,MS,MS
Liberty Head $20 (1849-1907),8972,1874-S,MS,MS
Liberty Head $20 (1849-1907),802298,1874-S,PL,MS
Liberty Head $20 (1849-1907),8973,1875,MS,MS
Liberty Head $20 (1849-1907),88973,1875,PL,MS
Liberty Head $20 (1849-1907),8974,1875-CC,MS,MS
Liberty Head $20 (1849-1907),8975,1875-S,MS,MS
Liberty Head $20 (1849-1907),88975,1875-S,PL,MS
Liberty Head $20 (1849-1907),8976,1876,MS,MS
Liberty Head $20 (1849-1907),88976,1876,PL,MS
Liberty Head $20 (1849-1907),8977,1876-CC,MS,MS
Liberty Head $20 (1849-1907),8978,1876-S,MS,MS
Liberty Head $20 (1849-1907),8982,1877,MS,MS
Liberty Head $20 (1849-1907),88982,1877,PL,MS
Liberty Head $20 (1849-1907),8983,1877-CC,MS,MS
Liberty Head $20 (1849-1907),8984,1877-S,MS,MS
Liberty Head $20 (1849-1907),8985,1878,MS,MS
Liberty Head $20 (1849-1907),781589,1878,PL,MS
Liberty Head $20 (1849-1907),8986,1878-CC,MS,MS
Liberty Head $20 (1849-1907),8987,1878-S,MS,MS
Liberty Head $20 (1849-1907),8988,1879,MS,MS
Liberty Head $20 (1849-1907),88988,1879,PL,MS
Liberty Head $20 (1849-1907),8989,1879-CC,MS,MS
Liberty Head $20 (1849-1907),8990,1879-O,MS,MS
Liberty Head $20 (1849-1907),8991,1879-S,MS,MS
Liberty Head $20 (1849-1907),88991,1879-S,PL,MS
Liberty Head $20 (1849-1907),8992,1880,MS,MS
Liberty Head $20 (1849-1907),88992,1880,PL,MS
Liberty Head $20 (1849-1907),8993,1880-S,MS,MS
Liberty Head $20 (1849-1907),892312,1880-S,PL,MS
Liberty Head $20 (1849-1907),8994,1881 40 to 60 known,MS,MS
Liberty Head $20 (1849-1907),8995,1881-S,MS,MS
Liberty Head $20 (1849-1907),8996,1882 25 to 35 known,MS,MS
Liberty Head $20 (1849-1907),8997,1882-CC,MS,MS
Liberty Head $20 (1849-1907),8998,1882-S,MS,MS
Liberty Head $20 (1849-1907),88998,1882-S,PL,MS
Liberty Head $20 (1849-1907),8999,1883-CC,MS,MS
Liberty Head $20 (1849-1907),9000,1883-S,MS,MS
Liberty Head $20 (1849-1907),791569,1883-S,PL,MS
Liberty Head $20 (1849-1907),9001,1884-CC,MS,MS
Liberty Head $20 (1849-1907),9002,1884-S,MS,MS
Liberty Head $20 (1849-1907),9003,1885 about 100 known,MS,MS
Liberty Head $20 (1849-1907),9004,1885-CC,MS,MS
Liberty Head $20 (1849-1907),9005,1885-S,MS,MS
Liberty Head $20 (1849-1907),9006,1886 40 to 60 known,MS,MS
Liberty Head $20 (1849-1907),89006,1886,PL,MS
Liberty Head $20 (1849-1907),9007,1887-S,MS,MS
Liberty Head $20 (1849-1907),9008,1888,MS,MS
Liberty Head $20 (1849-1907),89008,1888,PL,MS
Liberty Head $20 (1849-1907),9009,1888-S,MS,MS
Liberty Head $20 (1849-1907),9010,1889,MS,MS
Liberty Head $20 (1849-1907),9011,1889-CC,MS,MS
Liberty Head $20 (1849-1907),9012,1889-S,MS,MS
Liberty Head $20 (1849-1907),99012,1889-S,PL,MS
Liberty Head $20 (1849-1907),9013,1890,MS,MS
Liberty Head $20 (1849-1907),9014,1890-CC,MS,MS
Liberty Head $20 (1849-1907),9015,1890-S,MS,MS
Liberty Head $20 (1849-1907),9016,1891 about 100 known,MS,MS
Liberty Head $20 (1849-1907),89016,1891,PL,MS
Liberty Head $20 (1849-1907),9017,1891-CC,MS,MS
Liberty Head $20 (1849-1907),9018,1891-S,MS,MS
Liberty Head $20 (1849-1907),9019,1892,MS,MS
Liberty Head $20 (1849-1907),89019,1892,PL,MS
Liberty Head $20 (1849-1907),9020,1892-CC,MS,MS
Liberty Head $20 (1849-1907),9021,1892-S,MS,MS
Liberty Head $20 (1849-1907),881987,1892-S,PL,MS
Liberty Head $20 (1849-1907),9022,1893,MS,MS
Liberty Head $20 (1849-1907),881969,1893,PL,MS
Liberty Head $20 (1849-1907),9023,1893-CC,MS,MS
Liberty Head $20 (1849-1907),89023,1893-CC,PL,MS
Liberty Head $20 (1849-1907),9024,1893-S,MS,MS
