series,pcgs_id,name,designation,mint_type
Liberty Head $10 (1838-1907),8575,1838 80 to 100 known,MS,MS
Liberty Head $10 (1838-1907),8576,1839/8 Type of 1838,MS,MS
Liberty Head $10 (1838-1907),88576,1839/8 Type of 1838,PL,MS
Liberty Head $10 (1838-1907),8580,1839 Type of 1840 50 to 60 known,MS,MS
Liberty Head $10 (1838-1907),8581,1840,MS,MS
Liberty Head $10 (1838-1907),8582,1841,MS,MS
Liberty Head $10 (1838-1907),8583,1841-O 50 to 75 known,MS,MS
Liberty Head $10 (1838-1907),8584,1842 Large Date,MS,MS
Liberty Head $10 (1838-1907),8585,1842 Small Date,MS,MS
Liberty Head $10 (1838-1907),8587,1842-O,MS,MS
Liberty Head $10 (1838-1907),8588,1843,MS,MS
Liberty Head $10 (1838-1907),8589,1843-O,MS,MS
Liberty Head $10 (1838-1907),8590,1844 50 to 75 known,MS,MS
Liberty Head $10 (1838-1907),8591,1844-O,MS,MS
Liberty Head $10 (1838-1907),8592,1845,MS,MS
Liberty Head $10 (1838-1907),8593,1845-O,MS,MS
Liberty Head $10 (1838-1907),8594,1846,MS,MS
Liberty Head $10 (1838-1907),8595,1846-O,MS,MS
Liberty Head $10 (1838-1907),8597,1847,MS,MS
Liberty Head $10 (1838-1907),8598,1847-O,MS,MS
Liberty Head $10 (1838-1907),8599,1848,MS,MS
Liberty Head $10 (1838-1907),8600,1848-O,MS,MS
Liberty Head $10 (1838-1907),8601,1849,MS,MS
Liberty Head $10 (1838-1907),8602,1849-O,MS,MS
Liberty Head $10 (1838-1907),8603,1850 Large Date,MS,MS
Liberty Head $10 (1838-1907),8604,1850 Small Date,MS,MS
Liberty Head $10 (1838-1907),8605,1850-O,MS,MS
Liberty Head $10 (1838-1907),8606,1851,MS,MS
Liberty Head $10 (1838-1907),8607,1851-O,MS,MS
Liberty Head $10 (1838-1907),8608,1852,MS,MS
Liberty Head $10 (1838-1907),8609,1852-O,MS,MS
Liberty Head $10 (1838-1907),8610,1853,MS,MS
Liberty Head $10 (1838-1907),8611,1853/'2',MS,MS
Liberty Head $10 (1838-1907),8612,1853-O,MS,MS
Liberty Head $10 (1838-1907),8613,1854,MS,MS
Liberty Head $10 (1838-1907),8614,1854-O Small Date,MS,MS
Liberty Head $10 (1838-1907),98614,1854-O Large Date,MS,MS
Liberty Head $10 (1838-1907),8615,1854-S,MS,MS
Liberty Head $10 (1838-1907),8616,1855,MS,MS
Liberty Head $10 (1838-1907),8617,1855-O,MS,MS
Liberty Head $10 (1838-1907),8618,1855-S 60 to 80 known,MS,MS
Liberty Head $10 (1838-1907),8619,1856,MS,MS
