series,pcgs_id,name,designation,mint_type
Gold Commemorative (1903-1926),7443,"1903 G$1 LA Purchase, Jefferson",MS,MS
Gold Commemorative (1903-1926),87443,"1903 G$1 LA Purchase, Jefferson",PL,MS
Gold Commemorative (1903-1926),7444,"1903 G$1 LA Purchase, McKinley",MS,MS
Gold Commemorative (1903-1926),87444,"1903 G$1 LA Purchase, McKinley",PL,MS
Gold Commemorative (1903-1926),7447,1904 G$1 Lewis and Clark,MS,MS
Gold Commemorative (1903-1926),87447,1904 G$1 Lewis and Clark,PL,MS
Gold Commemorative (1903-1926),7448,1905 G$1 Lewis and Clark,MS,MS
Gold Commemorative (1903-1926),7449,1915-S G$1 Panama-Pacific,MS,MS
Gold Commemorative (1903-1926),7454,1916 G$1 McKinley,MS,MS
Gold Commemorative (1903-1926),7455,1917 G$1 McKinley,MS,MS
Gold Commemorative (1903-1926),87455,1917 G$1 McKinley,PL,MS
Gold Commemorative (1903-1926),7458,"1922 G$1 Grant, No Star",MS,MS
Gold Commemorative (1903-1926),7459,"1922 G$1 Grant, Star",MS,MS
Gold Commemorative (1903-1926),7466,1926 $2.50 Sesquicentennial,MS,MS
Gold Commemorative (1903-1926),7450,1915-S $2.50 Panama-Pacific,MS,MS
Gold Commemorative (1903-1926),7451,"1915-S $50 Panama-Pacific, Round",MS,MS
Gold Commemorative (1903-1926),7452,"1915-S $50 Panama-Pacific, Octagonal",MS,MS
Gold Commemorative (1903-1926),7482,"1903 G$1 LA Purchase, Jefferson 80 to 90 known",PR,PR
Gold Commemorative (1903-1926),87482,"1903 G$1 LA Purchase, Jefferson",CAM,PR
Gold Commemorative (1903-1926),7483,"1903 G$1 LA Purchase, McKinley 80 to 90 known",PR,PR
Gold Commemorative (1903-1926),87483,"1903 G$1 LA Purchase, McKinley",CAM,PR
Gold Commemorative (1903-1926),622825,"1903 G$1 LA Purchase, McKinley",DCAM,PR
Gold Commemorative (1903-1926),7484,1904 G$1 Lewis and Clark 5 known?,PR,PR
Gold Commemorative (1903-1926),388575,1904 G$1 Lewis and Clark,CAM,PR
Gold Commemorative (1903-1926),7487,1916 G$1 McKinley 5 to 8 known,PR,PR
Gold Commemorative (1903-1926),388576,1916 G$1 McKinley,CAM,PR
