series,pcgs_id,name,designation,mint_type
Gold Dollar (1849-1889),7501,1849 No L,MS,MS
Gold Dollar (1849-1889),7502,1849 Open Wreath,MS,MS
Gold Dollar (1849-1889),87502,1849 Open Wreath,PL,MS
Gold Dollar (1849-1889),7503,1849 Closed Wreath,MS,MS
Gold Dollar (1849-1889),7505,1849-C Closed Wreath,MS,MS
Gold Dollar (1849-1889),7506,1849-C Open Wreath 5 known,MS,MS
Gold Dollar (1849-1889),7507,1849-D,MS,MS
Gold Dollar (1849-1889),7508,1849-O,MS,MS
Gold Dollar (1849-1889),7509,1850,MS,MS
Gold Dollar (1849-1889),7510,1850-C,MS,MS
Gold Dollar (1849-1889),7511,1850-D,MS,MS
Gold Dollar (1849-1889),7512,1850-O,MS,MS
Gold Dollar (1849-1889),7513,1851,MS,MS
Gold Dollar (1849-1889),7514,1851-C,MS,MS
Gold Dollar (1849-1889),7515,1851-D,MS,MS
Gold Dollar (1849-1889),7516,1851-O,MS,MS
Gold Dollar (1849-1889),7517,1852,MS,MS
Gold Dollar (1849-1889),7518,1852-C,MS,MS
Gold Dollar (1849-1889),7519,1852-D,MS,MS
Gold Dollar (1849-1889),7520,1852-O,MS,MS
Gold Dollar (1849-1889),87520,1852-O,PL,MS
Gold Dollar (1849-1889),7521,1853,MS,MS
Gold Dollar (1849-1889),7522,1853-C,MS,MS
Gold Dollar (1849-1889),7523,1853-D,MS,MS
Gold Dollar (1849-1889),7524,1853-O,MS,MS
Gold Dollar (1849-1889),87524,1853-O,PL,MS
Gold Dollar (1849-1889),7525,1854,MS,MS
Gold Dollar (1849-1889),7526,1854-D,MS,MS
Gold Dollar (1849-1889),7527,1854-S,MS,MS
Gold Dollar (1849-1889),7531,1854,MS,MS
Gold Dollar (1849-1889),7532,1855,MS,MS
Gold Dollar (1849-1889),7533,1855-C,MS,MS
Gold Dollar (1849-1889),7534,1855-D,MS,MS
Gold Dollar (1849-1889),7535,1855-O,MS,MS
Gold Dollar (1849-1889),7536,1856-S,MS,MS
Gold Dollar (1849-1889),7540,1856 Slanted 5,MS,MS
Gold Dollar (1849-1889),7541,1856 Upright 5,MS,MS
Gold Dollar (1849-1889),7543,1856-D,MS,MS
Gold Dollar (1849-1889),7544,1857,MS,MS
Gold Dollar (1849-1889),7545,1857-C,MS,MS
Gold Dollar (1849-1889),7546,1857-D,MS,MS
Gold Dollar (1849-1889),7547,1857-S,MS,MS
Gold Dollar (1849-1889),7548,1858,MS,MS
Gold Dollar (1849-1889),7549,1858-D,MS,MS
Gold Dollar (1849-1889),7550,1858-S,MS,MS
Gold Dollar (1849-1889),7551,1859,MS,MS
Gold Dollar (1849-1889),7552,1859-C,MS,MS
Gold Dollar (1849-1889),7553,1859-D,MS,MS
Gold Dollar (1849-1889),7554,1859-S,MS,MS
Gold Dollar (1849-1889),7555,1860,MS,MS
Gold Dollar (1849-1889),7556,1860-D,MS,MS
Gold Dollar (1849-1889),7557,1860-S,MS,MS
Gold Dollar (1849-1889),7558,1861,MS,MS
Gold Dollar (1849-1889),7559,1861-D,MS,MS
Gold Dollar (1849-1889),7560,1862,MS,MS
Gold Dollar (1849-1889),87560,1862,PL,MS
Gold Dollar (1849-1889),7562,1863,MS,MS
Gold Dollar (1849-1889),7563,1864,MS,MS
Gold Dollar (1849-1889),7564,1865,MS,MS
Gold Dollar (1849-1889),7565,1866,MS,MS
Gold Dollar (1849-1889),826652,1866,PL,MS
Gold Dollar (1849-1889),7566,1867,MS,MS
Gold Dollar (1849-1889),87566,1867,PL,MS
Gold Dollar (1849-1889),7567,1868,MS,MS
Gold Dollar (1849-1889),87567,1868,PL,MS
Gold Dollar (1849-1889),7568,1869,MS,MS
Gold Dollar (1849-1889),7569,1870,MS,MS
Gold Dollar (1849-1889),7570,1870-S,MS,MS
Gold Dollar (1849-1889),7571,1871,MS,MS
Gold Dollar (1849-1889),87571,1871,PL,MS
Gold Dollar (1849-1889),7572,1872,MS,MS
Gold Dollar (1849-1889),783917,1872,PL,MS
Gold Dollar (1849-1889),7573,1873 Open 3,MS,MS
Gold Dollar (1849-1889),87573,1873 Open 3,PL,MS
Gold Dollar (1849-1889),7574,1873 Closed 3,MS,MS
Gold Dollar (1849-1889),87574,1873 Closed 3,PL,MS
Gold Dollar (1849-1889),7575,1874,MS,MS
Gold Dollar (1849-1889),87575,1874,PL,MS
Gold Dollar (1849-1889),7576,1875,MS,MS
Gold Dollar (1849-1889),87576,1875,PL,MS
Gold Dollar (1849-1889),7577,1876,MS,MS
Gold Dollar (1849-1889),87577,1876,PL,MS
Gold Dollar (1849-1889),7578,1877,MS,MS
Gold Dollar (1849-1889),87578,1877,PL,MS
Gold Dollar (1849-1889),7579,1878,MS,MS
Gold Dollar (1849-1889),87579,1878,PL,MS
Gold Dollar (1849-1889),7580,1879,MS,MS
Gold Dollar (1849-1889),7581,1880,MS,MS
Gold Dollar (1849-1889),87581,1880,PL,MS
Gold Dollar (1849-1889),7582,1881,MS,MS
Gold Dollar (1849-1889),87582,1881,PL,MS
Gold Dollar (1849-1889),7583,1882,MS,MS
Gold Dollar (1849-1889),7584,1883,MS,MS
Gold Dollar (1849-1889),87584,1883,PL,MS
Gold Dollar (1849-1889),7585,1884,MS,MS
Gold Dollar (1849-1889),87585,1884,PL,MS
Gold Dollar (1849-1889),7586,1885,MS,MS
Gold Dollar (1849-1889),87586,1885,PL,MS
Gold Dollar (1849-1889),7587,1886,MS,MS
Gold Dollar (1849-1889),87587,1886,PL,MS
Gold Dollar (1849-1889),7588,1887,MS,MS
Gold Dollar (1849-1889),87588,1887,PL,MS
Gold Dollar (1849-1889),7589,1888,MS,MS
