series,pcgs_id,name,designation,mint_type
Gold Eagles (1986 to Date),9803,1986 $5,MS,MS
Gold Eagles (1986 to Date),9810,1987 $5,MS,MS
Gold Eagles (1986 to Date),9818,1988 $5,MS,MS
Gold Eagles (1986 to Date),9828,1989 $5,MS,MS
Gold Eagles (1986 to Date),9838,1990 $5,MS,MS
Gold Eagles (1986 to Date),9848,1991 $5,MS,MS
Gold Eagles (1986 to Date),9858,1992 $5,MS,MS
Gold Eagles (1986 to Date),9868,1993 $5,MS,MS
Gold Eagles (1986 to Date),9878,1994 $5,MS,MS
Gold Eagles (1986 to Date),9888,1995 $5,MS,MS
Gold Eagles (1986 to Date),9902,1996 $5,MS,MS
Gold Eagles (1986 to Date),9914,1997 $5,MS,MS
Gold Eagles (1986 to Date),9931,1998 $5,MS,MS
Gold Eagles (1986 to Date),9939,1999 $5,MS,MS
Gold Eagles (1986 to Date),99940,1999-W $5 Unfinished PR Dies,MS,MS
Gold Eagles (1986 to Date),9950,2000 $5,MS,MS
Gold Eagles (1986 to Date),9955,2001 $5,MS,MS
Gold Eagles (1986 to Date),9960,2002 $5,MS,MS
Gold Eagles (1986 to Date),9965,2003 $5,MS,MS
Gold Eagles (1986 to Date),9971,2004 $5,MS,MS
Gold Eagles (1986 to Date),9976,2005 $5,MS,MS
Gold Eagles (1986 to Date),89985,2006 $5,MS,MS
Gold Eagles (1986 to Date),146909,2007 $5,MS,MS
Gold Eagles (1986 to Date),393096,2008 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),404429,2009 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),415536,2010 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),501482,2010 $5 Gold Eagle 25th Anniversary,MS,MS
Gold Eagles (1986 to Date),505223,2011 $5 Eagle-25th Anniversary,MS,MS
Gold Eagles (1986 to Date),509908,2012 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),516489,2013 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),521914,2014 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),539371,2015 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),537001,2015 $5 Gold Eagle First Day West Point Strike 1 of 2015,MS,MS
Gold Eagles (1986 to Date),570549,2016 $5 Gold Eagle 30th Anniversary,MS,MS
Gold Eagles (1986 to Date),616716,2017 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),656443,2018 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),694855,2019 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),811449,2020 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),848811,2021 $5 Gold Eagle - Type 1,MS,MS
Gold Eagles (1986 to Date),885839,2021 $5 Gold Eagle - Type 2,MS,MS
Gold Eagles (1986 to Date),936637,2024 $5 Gold Eagle First Day of Issue David Hall,MS,MS
Gold Eagles (1986 to Date),896339,2022 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),914911,2023 $5 Gold Eagle,MS,MS
Gold Eagles (1986 to Date),9804,1986 $10,MS,MS
Gold Eagles (1986 to Date),9811,1987 $10,MS,MS
Gold Eagles (1986 to Date),9820,1988 $10,MS,MS
Gold Eagles (1986 to Date),9830,1989 $10,MS,MS
Gold Eagles (1986 to Date),9840,1990 $10,MS,MS
Gold Eagles (1986 to Date),9850,1991 $10,MS,MS
Gold Eagles (1986 to Date),9860,1992 $10,MS,MS
Gold Eagles (1986 to Date),9870,1993 $10,MS,MS
Gold Eagles (1986 to Date),9880,1994 $10,MS,MS
Gold Eagles (1986 to Date),9890,1995 $10,MS,MS
Gold Eagles (1986 to Date),9904,1996 $10,MS,MS
Gold Eagles (1986 to Date),9916,1997 $10,MS,MS
Gold Eagles (1986 to Date),9933,1998 $10,MS,MS
Gold Eagles (1986 to Date),9941,1999 $10,MS,MS
