series,pcgs_id,name,designation,mint_type
Three Dollar (1854-1889),7969,1854,MS,MS
Three Dollar (1854-1889),7970,1854-D,MS,MS
Three Dollar (1854-1889),7971,1854-O,MS,MS
Three Dollar (1854-1889),7972,1855,MS,MS
Three Dollar (1854-1889),7973,1855-S,MS,MS
Three Dollar (1854-1889),7974,1856,MS,MS
Three Dollar (1854-1889),7975,1856-S,MS,MS
Three Dollar (1854-1889),7976,1857,MS,MS
Three Dollar (1854-1889),7977,1857-S,MS,MS
Three Dollar (1854-1889),7978,1858,MS,MS
Three Dollar (1854-1889),7979,1859,MS,MS
Three Dollar (1854-1889),7980,1860,MS,MS
Three Dollar (1854-1889),7981,1860-S,MS,MS
Three Dollar (1854-1889),7982,1861,MS,MS
Three Dollar (1854-1889),7983,1862,MS,MS
Three Dollar (1854-1889),7984,1863,MS,MS
Three Dollar (1854-1889),7985,1864,MS,MS
Three Dollar (1854-1889),7986,1865,MS,MS
Three Dollar (1854-1889),7987,1866,MS,MS
Three Dollar (1854-1889),7988,1867,MS,MS
Three Dollar (1854-1889),87988,1867,PL,MS
Three Dollar (1854-1889),7989,1868,MS,MS
Three Dollar (1854-1889),87989,1868,PL,MS
Three Dollar (1854-1889),7990,1869,MS,MS
Three Dollar (1854-1889),7991,1870,MS,MS
Three Dollar (1854-1889),87991,1870,PL,MS
Three Dollar (1854-1889),7993,1871,MS,MS
Three Dollar (1854-1889),802408,1871,PL,MS
Three Dollar (1854-1889),7994,1872,MS,MS
Three Dollar (1854-1889),97994,1872,DMPL,MS
Three Dollar (1854-1889),87994,1872,PL,MS
Three Dollar (1854-1889),7995,1873 Closed 3,MS,MS
Three Dollar (1854-1889),87995,1873 Closed 3,PL,MS
Three Dollar (1854-1889),7998,1874,MS,MS
Three Dollar (1854-1889),87998,1874,PL,MS
Three Dollar (1854-1889),7999,1877,MS,MS
Three Dollar (1854-1889),87999,1877,PL,MS
Three Dollar (1854-1889),8000,1878,MS,MS
Three Dollar (1854-1889),88000,1878,PL,MS
Three Dollar (1854-1889),8001,1879,MS,MS
Three Dollar (1854-1889),88001,1879,PL,MS
Three Dollar (1854-1889),8002,1880,MS,MS
