series,pcgs_id,name,designation
Liberty Cap Half Cent (1793-1797),1000,1793,BN 
Liberty Cap Half Cent (1793-1797),1001,1793,RB
Liberty Cap Half Cent (1793-1797),1003,1794,BN 
Liberty Cap Half Cent (1793-1797),1004,1794,RB 
Liberty Cap Half Cent (1793-1797),35015,1794 Low Relief Head,BN 
Liberty Cap Half Cent (1793-1797),35054,1794 High Relief Head,BN 
Liberty Cap Half Cent (1793-1797),35055,1794 High Relief Head,RB 
Liberty Cap Half Cent (1793-1797),1009,1795 Lettered Edge,BN 
Liberty Cap Half Cent (1793-1797),1015,"1795 LE, Punctuated Date",BN 
Liberty Cap Half Cent (1793-1797),1012,"1795 Plain Edge, Punctuated Date",BN 
Liberty Cap Half Cent (1793-1797),1018,"1795 Plain Edge, No Pole",BN 
Liberty Cap Half Cent (1793-1797),1019,"1795 Plain Edge, No Pole",RB 
Liberty Cap Half Cent (1793-1797),1030,"1796 No Pole Est. 30 known",BN 
Liberty Cap Half Cent (1793-1797),1031,1796 No Pole,RB 
Liberty Cap Half Cent (1793-1797),1027,1796 With Pole,BN 
Liberty Cap Half Cent (1793-1797),1028,1796 With Pole,RB 
Liberty Cap Half Cent (1793-1797),1042,1797 1 Above 1,BN 
Liberty Cap Half Cent (1793-1797),1043,1797 1 Above 1,RB 
Liberty Cap Half Cent (1793-1797),1036,1797 Plain Edge,BN 
Liberty Cap Half Cent (1793-1797),35107,"1797 Low Head, Plain Edge",BN 
Liberty Cap Half Cent (1793-1797),1033,1797 Lettered Edge,BN 
Liberty Cap Half Cent (1793-1797),1039,"1797 Gripped Edge Est. 13 known",BN 
