series,pcgs_id,name,designation,mint_type
Braided Hair Half Cent (1840-1857),1218,1849,BN,MS
Braided Hair Half Cent (1840-1857),1219,1849,RB,MS
Braided Hair Half Cent (1840-1857),1221,1850,BN,MS
Braided Hair Half Cent (1840-1857),1222,1850,RB,MS
Braided Hair Half Cent (1840-1857),1223,1850,RD,MS
Braided Hair Half Cent (1840-1857),1224,1851,BN,MS
Braided Hair Half Cent (1840-1857),1225,1851,RB,MS
Braided Hair Half Cent (1840-1857),1226,1851,RD,MS
Braided Hair Half Cent (1840-1857),1227,"1853 SRS: R1",BN,MS
Braided Hair Half Cent (1840-1857),1228,1853,RB,MS
Braided Hair Half Cent (1840-1857),1230,1854,BN,MS
Braided Hair Half Cent (1840-1857),1231,1854,RB,MS
Braided Hair Half Cent (1840-1857),1232,1854,RD,MS
Braided Hair Half Cent (1840-1857),1233,1855,BN,MS
Braided Hair Half Cent (1840-1857),1234,1855,RB,MS
Braided Hair Half Cent (1840-1857),1235,1855,RD,MS
Braided Hair Half Cent (1840-1857),1236,1856,BN,MS
Braided Hair Half Cent (1840-1857),1237,1856,RB,MS
Braided Hair Half Cent (1840-1857),1238,1856,RD,MS
Braided Hair Half Cent (1840-1857),1239,1857,BN,MS
Braided Hair Half Cent (1840-1857),1240,1857,RB,MS
Braided Hair Half Cent (1840-1857),1241,1857,RD,MS
Braided Hair Half Cent (1840-1857),1248,"1840 Original 15-20 known",BN,PR
Braided Hair Half Cent (1840-1857),1249,1840 Original,RB,PR
Braided Hair Half Cent (1840-1857),1250,1840 Original,RD,PR
Braided Hair Half Cent (1840-1857),1251,"1840 Restrike 18-24 known",BN,PR
Braided Hair Half Cent (1840-1857),1252,1840 Restrike,RB,PR
Braided Hair Half Cent (1840-1857),1253,1840 Restrike,RD,PR
Braided Hair Half Cent (1840-1857),1254,"1841 Original 20-30 known",BN,PR
Braided Hair Half Cent (1840-1857),1255,1841 Original,RB,PR
Braided Hair Half Cent (1840-1857),1256,1841 Original,RD,PR
Braided Hair Half Cent (1840-1857),55201,1841 Original,CAM,PR
Braided Hair Half Cent (1840-1857),1257,"1841 Restrike 15-18 known",BN,PR
Braided Hair Half Cent (1840-1857),1258,1841 Restrike,RB,PR
