series,pcgs_id,name
Draped Bust Half Dime (1796-1805),4254,1796 Likerty
Draped Bust Half Dime (1796-1805),4255,1796/5
Draped Bust Half Dime (1796-1805),4258,1797 15 Stars
Draped Bust Half Dime (1796-1805),4259,1797 16 Stars
Draped Bust Half Dime (1796-1805),4260,1797 13 Stars
Draped Bust Half Dime (1796-1805),4264,1800
Draped Bust Half Dime (1796-1805),4265,1800 Libekty
Draped Bust Half Dime (1796-1805),4267,1801
Draped Bust Half Dime (1796-1805),4268,1802 Est. 35 known
Draped Bust Half Dime (1796-1805),4269,1803 Large 8
Draped Bust Half Dime (1796-1805),4270,1803 Small 8 Est. 25 known
Draped Bust Half Dime (1796-1805),4272,1805
