series,pcgs_id,name,designation,mint_type
Capped Bust Half Dime (1829-1837),4486,1809,MS,MS
Capped Bust Half Dime (1829-1837),4487,1811/09 SRS: R3,MS,MS
Capped Bust Half Dime (1829-1837),4489,1814 Small Date,MS,MS
Capped Bust Half Dime (1829-1837),4488,1814 Large Date,MS,MS
Capped Bust Half Dime (1829-1837),4490,1814 STATESOF,MS,MS
Capped Bust Half Dime (1829-1837),4494,1820 STATESOF,MS,MS
Capped Bust Half Dime (1829-1837),4492,1820 Large 0,MS,MS
Capped Bust Half Dime (1829-1837),4493,1820 Small 0,MS,MS
Capped Bust Half Dime (1829-1837),4496,1821 Large Date,MS,MS
Capped Bust Half Dime (1829-1837),94496,1821 Small Date,MS,MS
Capped Bust Half Dime (1829-1837),4497,1822,MS,MS
Capped Bust Half Dime (1829-1837),4498,1823/2 Small Es,MS,MS
Capped Bust Half Dime (1829-1837),4499,1823/2 Large Es,MS,MS
Capped Bust Half Dime (1829-1837),4502,1824/2,MS,MS
Capped Bust Half Dime (1829-1837),4503,1825,MS,MS
Capped Bust Half Dime (1829-1837),4504,1827,MS,MS
Capped Bust Half Dime (1829-1837),4506,1828 Large Date,MS,MS
Capped Bust Half Dime (1829-1837),4510,1828 Small Date,MS,MS
Capped Bust Half Dime (1829-1837),4511,1829 Small 10C,MS,MS
Capped Bust Half Dime (1829-1837),84511,1829 Medium 10C,MS,MS
Capped Bust Half Dime (1829-1837),94511,1829 Large 10C,MS,MS
Capped Bust Half Dime (1829-1837),509640,1829 Extra Large 10C,MS,MS
Capped Bust Half Dime (1829-1837),396250,"1829 Sm/Lg 10C, JR-9, FS-901 SRS: R4",MS,MS
Capped Bust Half Dime (1829-1837),4512,1829 Curl Base 2 40 known,MS,MS
Capped Bust Half Dime (1829-1837),4516,1830 Medium 10C,MS,MS
Capped Bust Half Dime (1829-1837),4517,1830 Small 10C,MS,MS
Capped Bust Half Dime (1829-1837),4519,1830/29,MS,MS
Capped Bust Half Dime (1829-1837),4520,1831,MS,MS
Capped Bust Half Dime (1829-1837),4521,1832,MS,MS
Capped Bust Half Dime (1829-1837),4522,1833,MS,MS
Capped Bust Half Dime (1829-1837),4523,1833 Last 3 High,MS,MS
Capped Bust Half Dime (1829-1837),4525,1834 Small 4,MS,MS
Capped Bust Half Dime (1829-1837),4526,1834 Large 4,MS,MS
Capped Bust Half Dime (1829-1837),4527,1835,MS,MS
Capped Bust Half Dime (1829-1837),4528,1836,MS,MS
Capped Bust Half Dime (1829-1837),4529,1837 Capped Bust,MS,MS
Capped Bust Half Dime (1829-1837),4538,1820 Est. 0-3 known,PR,PR
Capped Bust Half Dime (1829-1837),4539,1821 3-5 known,PR,PR
Capped Bust Half Dime (1829-1837),4540,1822 3 known,PR,PR
Capped Bust Half Dime (1829-1837),84540,1822,CAM,PR
Capped Bust Half Dime (1829-1837),4543,1825 6 known,PR,PR
Capped Bust Half Dime (1829-1837),4544,1827 Est. 5-10 known,PR,PR
Capped Bust Half Dime (1829-1837),4547,1828 Small Date 5 known,PR,PR
Capped Bust Half Dime (1829-1837),4548,1829 Est. 5-8 known,PR,PR
Capped Bust Half Dime (1829-1837),84548,1829,CAM,PR
Capped Bust Half Dime (1829-1837),4549,1830 3-5 known,PR,PR
Capped Bust Half Dime (1829-1837),541691,1830,CAM,PR
Capped Bust Half Dime (1829-1837),4553,1831 15-20 known,PR,PR
Capped Bust Half Dime (1829-1837),84553,1831,CAM,PR
Capped Bust Half Dime (1829-1837),4554,1832 Est. 2-4 known,PR,PR
Capped Bust Half Dime (1829-1837),4555,1833 Est. 3-5 known,PR,PR
Capped Bust Half Dime (1829-1837),4556,1834 Est. 8-10 known,PR,PR
Capped Bust Half Dime (1829-1837),4557,1835 Est. 10-12 known,PR,PR
Capped Bust Half Dime (1829-1837),84557,1835,CAM,PR
Capped Bust Half Dime (1829-1837),4558,1836 1-3 known,PR,PR
Capped Bust Half Dime (1829-1837),4559,1837 Est. 2-3 known,PR,PR
