series,pcgs_id,name,designation,mint_type
Kennedy Half Dollar (1964 to Date),6706,1964,MS,MS
Kennedy Half Dollar (1964 to Date),6707,1964-D,MS,MS
Kennedy Half Dollar (1964 to Date),86707,1964-D DDO,MS,MS
Kennedy Half Dollar (1964 to Date),411631,1964-D Quadrupled Die Obverse,MS,MS
Kennedy Half Dollar (1964 to Date),146076,1964-D/D RPM FS-501,MS,MS
Kennedy Half Dollar (1964 to Date),146077,1964-D/D RPM FS-502,MS,MS
Kennedy Half Dollar (1964 to Date),146078,1964-D/D RPM FS-503,MS,MS
Kennedy Half Dollar (1964 to Date),510581,1964-D/D RPM FS-504,MS,MS
Kennedy Half Dollar (1964 to Date),6708,1965,MS,MS
Kennedy Half Dollar (1964 to Date),6709,1966,MS,MS
Kennedy Half Dollar (1964 to Date),6710,1967,MS,MS
Kennedy Half Dollar (1964 to Date),6711,1968-D,MS,MS
Kennedy Half Dollar (1964 to Date),6712,1969-D,MS,MS
Kennedy Half Dollar (1964 to Date),6713,1970-D,MS,MS
Kennedy Half Dollar (1964 to Date),86713,1970-D,PL,MS
Kennedy Half Dollar (1964 to Date),6716,1971,MS,MS
Kennedy Half Dollar (1964 to Date),6717,1971-D,MS,MS
Kennedy Half Dollar (1964 to Date),6718,1972,MS,MS
Kennedy Half Dollar (1964 to Date),6719,1972-D,MS,MS
Kennedy Half Dollar (1964 to Date),411635,"1972-D No 'FG'",MS,MS
Kennedy Half Dollar (1964 to Date),6720,1973,MS,MS
Kennedy Half Dollar (1964 to Date),6721,1973-D,MS,MS
Kennedy Half Dollar (1964 to Date),6722,1974,MS,MS
Kennedy Half Dollar (1964 to Date),6723,1974-D,MS,MS
Kennedy Half Dollar (1964 to Date),96723,1974-D Doubled Die Obverse,MS,MS
Kennedy Half Dollar (1964 to Date),6731,1977,MS,MS
Kennedy Half Dollar (1964 to Date),6732,1977-D,MS,MS
Kennedy Half Dollar (1964 to Date),6733,1978,MS,MS
Kennedy Half Dollar (1964 to Date),6734,1978-D,MS,MS
Kennedy Half Dollar (1964 to Date),6735,1979,MS,MS
Kennedy Half Dollar (1964 to Date),6736,1979-D,MS,MS
Kennedy Half Dollar (1964 to Date),6737,1980-P,MS,MS
Kennedy Half Dollar (1964 to Date),6738,1980-D,MS,MS
Kennedy Half Dollar (1964 to Date),6739,1981-P,MS,MS
Kennedy Half Dollar (1964 to Date),6740,1981-D,MS,MS
Kennedy Half Dollar (1964 to Date),6741,1982-P,MS,MS
Kennedy Half Dollar (1964 to Date),6742,1982-D,MS,MS
