series,pcgs_id,name,designation,mint_type
Indian $5 (1908-1929),8510,1908,MS,MS
Indian $5 (1908-1929),8511,1908-D,MS,MS
Indian $5 (1908-1929),8512,1908-S,MS,MS
Indian $5 (1908-1929),8513,1909,MS,MS
Indian $5 (1908-1929),8514,1909-D,MS,MS
Indian $5 (1908-1929),8515,1909-O,MS,MS
Indian $5 (1908-1929),8516,1909-S,MS,MS
Indian $5 (1908-1929),8517,1910,MS,MS
Indian $5 (1908-1929),8518,1910-D,MS,MS
Indian $5 (1908-1929),8519,1910-S,MS,MS
Indian $5 (1908-1929),8520,1911,MS,MS
Indian $5 (1908-1929),8521,1911-D,MS,MS
Indian $5 (1908-1929),8522,1911-S,MS,MS
Indian $5 (1908-1929),8523,1912,MS,MS
Indian $5 (1908-1929),8524,1912-S,MS,MS
Indian $5 (1908-1929),8525,1913,MS,MS
Indian $5 (1908-1929),8526,1913-S,MS,MS
Indian $5 (1908-1929),88526,1913-S Weak S,MS,MS
Indian $5 (1908-1929),8527,1914,MS,MS
Indian $5 (1908-1929),8528,1914-D,MS,MS
Indian $5 (1908-1929),8529,1914-S,MS,MS
Indian $5 (1908-1929),8530,1915,MS,MS
Indian $5 (1908-1929),8531,1915-S,MS,MS
Indian $5 (1908-1929),8532,1916-S,MS,MS
Indian $5 (1908-1929),8533,1929,MS,MS
Indian $5 (1908-1929),8539,1908,PR,PR
Indian $5 (1908-1929),8540,1909 40 to 50 known,PR,PR
Indian $5 (1908-1929),8541,1910 60 to 75 known,PR,PR
Indian $5 (1908-1929),8542,1911 60 to 80 known,PR,PR
Indian $5 (1908-1929),8543,1912 70 to 90 known,PR,PR
Indian $5 (1908-1929),8544,1913 50 to 65 known,PR,PR
Indian $5 (1908-1929),8545,1914 60 to 75 known,PR,PR
Indian $5 (1908-1929),8546,1915 40 to 50 known,PR,PR
