series,pcgs_id,name,designation
Mint Sets (1947 to Date),904501,"1947 Mint Set",MS
Mint Sets (1947 to Date),904502,"1948 Mint Set",MS
Mint Sets (1947 to Date),904503,"1949 Mint Set",MS
Mint Sets (1947 to Date),904504,"1951 Mint Set",MS
Mint Sets (1947 to Date),904505,"1952 Mint Set",MS
Mint Sets (1947 to Date),904506,"1953 Mint Set",MS
Mint Sets (1947 to Date),904507,"1954 Mint Set",MS
Mint Sets (1947 to Date),904508,"1955 Mint Set",MS
Mint Sets (1947 to Date),904509,"1956 Mint Set",MS
Mint Sets (1947 to Date),904510,"1957 Mint Set",MS
Mint Sets (1947 to Date),904511,"1958 Mint Set",MS
Mint Sets (1947 to Date),904512,"1959 Mint Set",MS
Mint Sets (1947 to Date),904513,"1960 Mint Set",MS
Mint Sets (1947 to Date),904514,"1961 Mint Set",MS
Mint Sets (1947 to Date),904515,"1962 Mint Set",MS
Mint Sets (1947 to Date),904516,"1963 Mint Set",MS
Mint Sets (1947 to Date),904517,"1964 Mint Set",MS
Mint Sets (1947 to Date),904518,"1965 Special Mint Set",MS
Mint Sets (1947 to Date),904519,"1966 Special Mint Set",MS
Mint Sets (1947 to Date),904520,"1967 Special Mint Set",MS
Mint Sets (1947 to Date),904521,"1968 Mint Set",MS
Mint Sets (1947 to Date),904522,"1969 Mint Set",MS
Mint Sets (1947 to Date),904523,"1970 Mint Set, Large Date",MS
Mint Sets (1947 to Date),904524,"1970 Mint Set, Small Date",MS
Mint Sets (1947 to Date),904525,"1971 Mint Set",MS
Mint Sets (1947 to Date),904526,"1972 Mint Set",MS
Mint Sets (1947 to Date),904527,"1973 Mint Set",MS
Mint Sets (1947 to Date),904528,"1974 Mint Set",MS
Mint Sets (1947 to Date),904529,"1975 Mint Set",MS
Mint Sets (1947 to Date),904530,"1976 Mint Set",MS
Mint Sets (1947 to Date),904531,"1976 Mint Set, Silver 3PC",MS
Mint Sets (1947 to Date),904532,"1977 Mint Set",MS
Mint Sets (1947 to Date),904533,"1978 Mint Set",MS
Mint Sets (1947 to Date),904534,"1979 Mint Set",MS
Mint Sets (1947 to Date),904535,"1980 Mint Set",MS
Mint Sets (1947 to Date),904536,"1981 Mint Set",MS
Mint Sets (1947 to Date),904537,"1984 Mint Set",MS
Mint Sets (1947 to Date),904538,"1985 Mint Set",MS
Mint Sets (1947 to Date),904539,"1986 Mint Set",MS
Mint Sets (1947 to Date),904540,"1987 Mint Set",MS
Mint Sets (1947 to Date),904541,"1988 Mint Set",MS
Mint Sets (1947 to Date),904542,"1989 Mint Set",MS
Mint Sets (1947 to Date),904543,"1990 Mint Set",MS
Mint Sets (1947 to Date),904544,"1991 Mint Set",MS
Mint Sets (1947 to Date),904545,"1992 Mint Set",MS
Mint Sets (1947 to Date),904546,"1993 Mint Set",MS
Mint Sets (1947 to Date),904547,"1994 Mint Set",MS
Mint Sets (1947 to Date),904548,"1995 Mint Set",MS
Mint Sets (1947 to Date),904549,"1996 Mint Set",MS
Mint Sets (1947 to Date),904550,"1997 Mint Set",MS
Mint Sets (1947 to Date),904551,"1998 Mint Set",MS
Mint Sets (1947 to Date),904552,"1999 Mint Set 18 Piece",MS
Mint Sets (1947 to Date),904553,"2000 Mint Set 20 Piece",MS
Mint Sets (1947 to Date),904554,"2001 Mint Set 20 Piece",MS
Mint Sets (1947 to Date),89793,"2001-D Buff-Coin & Currency Set",MS
Mint Sets (1947 to Date),904555,"2002 Mint Set 20 Piece",MS
Mint Sets (1947 to Date),904556,"2003 Mint Set 20 Piece",MS
Mint Sets (1947 to Date),904557,"2004 Mint Set 22 Piece",MS
Mint Sets (1947 to Date),904558,"2005 Mint Set 22 Piece",MS
Mint Sets (1947 to Date),904565,"2006 Mint Set",MS
Mint Sets (1947 to Date),904566,"2007 Mint Set",MS
Mint Sets (1947 to Date),904567,"2008 Mint Set",MS
Mint Sets (1947 to Date),904568,"2009 Mint Set",MS
Mint Sets (1947 to Date),904569,"2010 Mint Set",MS
Mint Sets (1947 to Date),904570,"2011 Mint Set",MS
Mint Sets (1947 to Date),904571,"2012 Mint Set",MS
Mint Sets (1947 to Date),904572,"2013 Mint Set",MS
Mint Sets (1947 to Date),593869,"2014 Mint Set",MS
Mint Sets (1947 to Date),593870,"2015 Mint Set",MS
Mint Sets (1947 to Date),653991,"2016 Mint Set",MS
Mint Sets (1947 to Date),678681,"2017 Mint Set",MS
Mint Sets (1947 to Date),804180,"2018 Mint Set",MS
Mint Sets (1947 to Date),804181,"2019 Mint Set",MS
Mint Sets (1947 to Date),837050,"2020 Mint Set",MS
