series,pcgs_id,name,designation,mint_type
Modern Gold Commemorative (1984 to Date),9622,1986-W $5 Statue Of Liberty,MS,MS
Modern Gold Commemorative (1984 to Date),9626,1987-W $5 Constitution,MS,MS
Modern Gold Commemorative (1984 to Date),9630,1988-W $5 Olympic,MS,MS
Modern Gold Commemorative (1984 to Date),9636,1989-W $5 Congress,MS,MS
Modern Gold Commemorative (1984 to Date),9646,1991-W $5 Mount Rushmore,MS,MS
Modern Gold Commemorative (1984 to Date),9924,1992-W $5 Olympic,MS,MS
Modern Gold Commemorative (1984 to Date),9666,1992-W $5 Christopher Columbus,MS,MS
Modern Gold Commemorative (1984 to Date),9672,1993-W $5 James Madison Bill of Rights,MS,MS
Modern Gold Commemorative (1984 to Date),9678,1991-95-W $5 World War II,MS,MS
Modern Gold Commemorative (1984 to Date),9684,1994-W $5 World Cup,MS,MS
Modern Gold Commemorative (1984 to Date),9702,1995-W $5 Civil War,MS,MS
Modern Gold Commemorative (1984 to Date),9732,1995-W $5 Torch Runner,MS,MS
Modern Gold Commemorative (1984 to Date),9734,1995-W $5 Stadium,MS,MS
Modern Gold Commemorative (1984 to Date),9736,1996-W $5 Flag,MS,MS
Modern Gold Commemorative (1984 to Date),9738,1996-W $5 Cauldron,MS,MS
Modern Gold Commemorative (1984 to Date),9744,1996-W $5 Smithsonian,MS,MS
Modern Gold Commemorative (1984 to Date),9759,1997-W $5 Jackie Robinson,MS,MS
Modern Gold Commemorative (1984 to Date),9748,1997-W $5 F.D.R.,MS,MS
Modern Gold Commemorative (1984 to Date),9777,1999-W $5 Washington,MS,MS
Modern Gold Commemorative (1984 to Date),9792,2001-W $5 Capitol Visitor,MS,MS
Modern Gold Commemorative (1984 to Date),9799,2002-W $5 Salt Lake City,MS,MS
Modern Gold Commemorative (1984 to Date),21012,2006-S $5 San Francisco Old Mint,MS,MS
Modern Gold Commemorative (1984 to Date),147441,2007-W $5 Jamestown,MS,MS
Modern Gold Commemorative (1984 to Date),394419,2008-W $5 Bald Eagle,MS,MS
Modern Gold Commemorative (1984 to Date),506170,2011-P $5 United States Army,MS,MS
Modern Gold Commemorative (1984 to Date),507307,2011-P $5 Medal of Honor,MS,MS
Modern Gold Commemorative (1984 to Date),511547,2012-W $5 Star-Spangled Banner,MS,MS
Modern Gold Commemorative (1984 to Date),517655,2013-P $5 5 Star Generals MacArthur,MS,MS
Modern Gold Commemorative (1984 to Date),525643,2014-W $5 Baseball Hall of Fame,MS,MS
Modern Gold Commemorative (1984 to Date),541322,2014-W $5 Baseball Hall of Fame 1 of 16 Gold Glove Award,MS,MS
Modern Gold Commemorative (1984 to Date),536851,2015-W $5 U.S. Marshals Service,MS,MS
Modern Gold Commemorative (1984 to Date),593897,2016-W $5 Mark Twain,MS,MS
