series,pcgs_id,name,designation,mint_type
Modern Silver and Clad Commemoratives (1982 to Date),9600,1982-D 50C Washington,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),89600,1982-D 50C Washington,PL,MS
Modern Silver and Clad Commemoratives (1982 to Date),9618,1986-D 50C Statue Of Liberty,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9632,1989-D 50C Congress,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9642,1991-D 50C Mount Rushmore,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9920,1992-P 50C Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9662,1992-D 50C Columbus,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9668,1993-W 50C Madison,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9674,1991-95-P 50C World War II,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9680,1994-D 50C World Cup,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9698,1995-S 50C Civil War,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9708,1995-S 50C Basketball,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9710,1995-S 50C Baseball,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9714,1996-S 50C Soccer,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9712,1996-S 50C Swimming,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9790,2001-P 50C Capitol Visitor,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),21001,2003-P 50C First Flight,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),394415,2008-S 50C Bald Eagle,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),506161,2011-D 50C United States Army,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),517647,"2013-D 50C 5 Star Generals Arnold, Bradley",MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),525639,2014-D 50C Baseball Hall of Fame,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),536841,2015-D 50C U.S. Marshals Service,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),595477,2016-D 50C 100th Anniv. Nat'l Parks,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),623246,2017-D 50C Boys Town,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),623247,2017-D 50C Boys Town First Strike,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),671319,2018-D 50C Breast Cancer Awareness,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),697683,2019-D 50C Apollo 11 50th Anniversary,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),710220,2019-D 50C American Legion 100th Ann,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),812977,2020-D 50C Basketball Hall of Fame,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),881024,2021-D 50C Nat'l Law Enforcement Mem.,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),904473,2022-D 50C Negro Leagues Baseball,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),906141,2022-D 50C National Purple Heart Hall of Honor,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),935783,2024-D 50C Harriet Tubman,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),936834,2024-D 50C Greatest Generation,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9605,1983-P $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9606,1983-D $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9607,1983-S $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9609,1984-P $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9610,1984-D $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9611,1984-S $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9620,1986-P $1 Statue of Liberty,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9624,1987-P $1 Constitution,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9628,1988-D $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9634,1989-D $1 Congress,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9638,1990-W $1 Eisenhower,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9644,1991-P $1 Mount Rushmore,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9652,1991-D $1 Korea,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9658,1991-D $1 USO,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9922,1992-D $1 Olympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9660,1992-D $1 White House,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9664,1992-D $1 Columbus,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9688,1993-P $1 Jefferson,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9670,1993-D $1 Madison,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9676,1991-95-D $1 World War II,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9682,1994-D $1 World Cup,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9696,1994-D $1 Capitol,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9692,1994-W $1 Vietnam,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9690,1994-W $1 P. O. W.,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9694,1994-W $1 Women Military,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9700,1995-P $1 Civil War,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9716,1995-D $1 Gymnastics,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9718,1995-D $1 Paralympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9720,1995-D $1 Track & Field,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9722,1995-D $1 Cycling,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9704,1995-W $1 Special Olympics,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9724,1996-D $1 Tennis,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9726,1996-D $1 Paralympic,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9728,1996-D $1 Rowing,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9730,1996-D $1 High Jump,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9742,1996-D $1 Smithsonian,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9740,1996-S $1 Nat. Comm. Service,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9746,1997-P $1 Botanical,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9761,1997-P $1 Officers,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9757,1997-S $1 Jackie Robinson,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9763,1998-S $1 RFK,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9769,1998-S $1 Crispus Attucks,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9771,1999-P $1 Dolley Madison,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9778,1999-P $1 Yellowstone,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9783,2000-P $1 Library,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9785,2000-P $1 Leif Ericson,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9793,2001-D $1 Buffalo,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9791,2001-P $1 Capitol Visitor,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),9798,2002-P $1 Olympics-Salt Lake City,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),21000,2002-W $1 West Point,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),21002,2003-P $1 First Flight,MS,MS
Modern Silver and Clad Commemoratives (1982 to Date),21004,2004-P $1 Edison,MS,MS
