series,pcgs_id,name,designation,mint_type
Buffalo Nickel (1913-1938),3915,"1913 Type 1 'FIVE CENTS' On Raised Ground",MS,MS
Buffalo Nickel (1913-1938),3916,"1913-D Type 1 'FIVE CENTS' On Raised Ground",MS,MS
Buffalo Nickel (1913-1938),3917,"1913-S Type 1 'FIVE CENTS' On Raised Ground",MS,MS
Buffalo Nickel (1913-1938),3921,"1913 Type 2 FIVE CENTS In Recess",MS,MS
Buffalo Nickel (1913-1938),3922,"1913-D Type 2 FIVE CENTS In Recess",MS,MS
Buffalo Nickel (1913-1938),3923,"1913-S Type 2 FIVE CENTS In Recess",MS,MS
Buffalo Nickel (1913-1938),3924,1914,MS,MS
Buffalo Nickel (1913-1938),93924,1914/(3),MS,MS
Buffalo Nickel (1913-1938),3925,1914-D,MS,MS
Buffalo Nickel (1913-1938),3926,1914-S,MS,MS
Buffalo Nickel (1913-1938),3927,1915,MS,MS
Buffalo Nickel (1913-1938),3928,1915-D,MS,MS
Buffalo Nickel (1913-1938),3929,1915-S,MS,MS
Buffalo Nickel (1913-1938),3930,1916,MS,MS
Buffalo Nickel (1913-1938),3931,1916 Doubled Die Obverse,MS,MS
Buffalo Nickel (1913-1938),3932,1916-D,MS,MS
Buffalo Nickel (1913-1938),3933,1916-S,MS,MS
Buffalo Nickel (1913-1938),3934,1917,MS,MS
Buffalo Nickel (1913-1938),3935,1917-D,MS,MS
Buffalo Nickel (1913-1938),3936,1917-S,MS,MS
Buffalo Nickel (1913-1938),3937,1918,MS,MS
Buffalo Nickel (1913-1938),3938,1918-D,MS,MS
Buffalo Nickel (1913-1938),3939,1918/7-D,MS,MS
Buffalo Nickel (1913-1938),3940,1918-S,MS,MS
Buffalo Nickel (1913-1938),3941,1919,MS,MS
Buffalo Nickel (1913-1938),3942,1919-D,MS,MS
Buffalo Nickel (1913-1938),3943,1919-S,MS,MS
Buffalo Nickel (1913-1938),3944,1920,MS,MS
Buffalo Nickel (1913-1938),3945,1920-D,MS,MS
Buffalo Nickel (1913-1938),3946,1920-S,MS,MS
Buffalo Nickel (1913-1938),3947,1921,MS,MS
Buffalo Nickel (1913-1938),3948,1921-S,MS,MS
Buffalo Nickel (1913-1938),3949,1923,MS,MS
Buffalo Nickel (1913-1938),3950,1923-S,MS,MS
Buffalo Nickel (1913-1938),3951,1924,MS,MS
Buffalo Nickel (1913-1938),3952,1924-D,MS,MS
Buffalo Nickel (1913-1938),3953,1924-S,MS,MS
Buffalo Nickel (1913-1938),3954,1925,MS,MS
Buffalo Nickel (1913-1938),3955,1925-D,MS,MS
Buffalo Nickel (1913-1938),3956,1925-S,MS,MS
Buffalo Nickel (1913-1938),3957,1926,MS,MS
Buffalo Nickel (1913-1938),3958,1926-D,MS,MS
Buffalo Nickel (1913-1938),3959,1926-S,MS,MS
Buffalo Nickel (1913-1938),3960,1927,MS,MS
Buffalo Nickel (1913-1938),3961,1927-D,MS,MS
Buffalo Nickel (1913-1938),3962,1927-S,MS,MS
Buffalo Nickel (1913-1938),3963,1928,MS,MS
Buffalo Nickel (1913-1938),3964,1928-D,MS,MS
Buffalo Nickel (1913-1938),3965,1928-S,MS,MS
Buffalo Nickel (1913-1938),3966,1929,MS,MS
Buffalo Nickel (1913-1938),3967,1929-D,MS,MS
Buffalo Nickel (1913-1938),3968,1929-S,MS,MS
Buffalo Nickel (1913-1938),3969,1930,MS,MS
Buffalo Nickel (1913-1938),3970,1930-S,MS,MS
Buffalo Nickel (1913-1938),3971,1931-S,MS,MS
Buffalo Nickel (1913-1938),3972,1934,MS,MS
Buffalo Nickel (1913-1938),3973,1934-D,MS,MS
Buffalo Nickel (1913-1938),3974,1935,MS,MS
Buffalo Nickel (1913-1938),93974,1935 Doubled Die Reverse,MS,MS
Buffalo Nickel (1913-1938),3975,1935-D,MS,MS
Buffalo Nickel (1913-1938),3976,1935-S,MS,MS
Buffalo Nickel (1913-1938),3977,1936,MS,MS
Buffalo Nickel (1913-1938),3978,1936-D,MS,MS
Buffalo Nickel (1913-1938),93978,1936-D 3-1/2 Legs,MS,MS
Buffalo Nickel (1913-1938),3979,1936-S,MS,MS
Buffalo Nickel (1913-1938),3980,1937,MS,MS
Buffalo Nickel (1913-1938),3981,1937-D,MS,MS
Buffalo Nickel (1913-1938),3982,1937-D 3 Legs,MS,MS
Buffalo Nickel (1913-1938),3983,1937-S,MS,MS
Buffalo Nickel (1913-1938),3984,1938-D,MS,MS
Buffalo Nickel (1913-1938),3985,1938-D/S,MS,MS
Buffalo Nickel (1913-1938),93984,1938-D/D,MS,MS
Buffalo Nickel (1913-1938),3988,1913 Type 1,PR,PR
Buffalo Nickel (1913-1938),3990,1913 Type 2,PR,PR
Buffalo Nickel (1913-1938),3991,1914,PR,PR
Buffalo Nickel (1913-1938),3992,1915,PR,PR
Buffalo Nickel (1913-1938),3993,1916,PR,PR
Buffalo Nickel (1913-1938),3994,1936 Satin,PR,PR
Buffalo Nickel (1913-1938),3995,1936 Brilliant,PR,PR
Buffalo Nickel (1913-1938),3996,1937,PR,PR
Buffalo Nickel (1913-1938),83996,1937,CAM,PR
Buffalo Nickel (1913-1938),3987,1927 Special Strike,SP,SP
