series,pcgs_id,name,designation
Jefferson Nickel (1938 to Date),4000,1938,MS
Jefferson Nickel (1938 to Date),84000,1938,FS
Jefferson Nickel (1938 to Date),4001,1938-D,MS
Jefferson Nickel (1938 to Date),84001,1938-D,FS
Jefferson Nickel (1938 to Date),4002,1938-S,MS
Jefferson Nickel (1938 to Date),84002,1938-S,FS
Jefferson Nickel (1938 to Date),4003,1939,MS
Jefferson Nickel (1938 to Date),84003,1939,FS
Jefferson Nickel (1938 to Date),94003,1939 Reverse of 1940,MS
Jefferson Nickel (1938 to Date),894003,1939 Reverse of 1940,FS
Jefferson Nickel (1938 to Date),4004,1939 Doubled Monticello,MS
Jefferson Nickel (1938 to Date),84004,1939 Doubled Monticello,FS
Jefferson Nickel (1938 to Date),4005,1939-D Reverse of 1938,MS
Jefferson Nickel (1938 to Date),84005,1939-D Reverse of 1938,FS
Jefferson Nickel (1938 to Date),94005,1939-D Reverse of 1940,MS
Jefferson Nickel (1938 to Date),894005,1939-D Reverse of 1940,FS
Jefferson Nickel (1938 to Date),4006,1939-S,MS
Jefferson Nickel (1938 to Date),84006,1939-S,FS
Jefferson Nickel (1938 to Date),94006,1939-S Reverse of 1940,MS
Jefferson Nickel (1938 to Date),894006,1939-S Reverse of 1940,FS
Jefferson Nickel (1938 to Date),4007,1940,MS
Jefferson Nickel (1938 to Date),84007,1940,FS
Jefferson Nickel (1938 to Date),4008,1940-D,MS
Jefferson Nickel (1938 to Date),84008,1940-D,FS
Jefferson Nickel (1938 to Date),4009,1940-S,MS
Jefferson Nickel (1938 to Date),84009,1940-S,FS
Jefferson Nickel (1938 to Date),4010,1941,MS
Jefferson Nickel (1938 to Date),84010,1941,FS
Jefferson Nickel (1938 to Date),4011,1941-D,MS
Jefferson Nickel (1938 to Date),84011,1941-D,FS
Jefferson Nickel (1938 to Date),4012,1941-S,MS
Jefferson Nickel (1938 to Date),84012,1941-S,FS
Jefferson Nickel (1938 to Date),4013,1942 Type 1 (Nickel),MS
Jefferson Nickel (1938 to Date),84013,1942 Type 1 (Nickel),FS
Jefferson Nickel (1938 to Date),4014,1942-D Type 1 (Nickel),MS
Jefferson Nickel (1938 to Date),84014,1942-D Type 1 (Nickel),FS
Jefferson Nickel (1938 to Date),4015,1942-D/D D/Horizontal D,MS
Jefferson Nickel (1938 to Date),84015,1942-D/D D/Horizontal D,FS
Jefferson Nickel (1938 to Date),4028,1946,MS
Jefferson Nickel (1938 to Date),84028,1946,FS
Jefferson Nickel (1938 to Date),4029,1946-D,MS
Jefferson Nickel (1938 to Date),84029,1946-D,FS
Jefferson Nickel (1938 to Date),4030,1946-S,MS
Jefferson Nickel (1938 to Date),84030,1946-S,FS
Jefferson Nickel (1938 to Date),4031,1947,MS
Jefferson Nickel (1938 to Date),84031,1947,FS
Jefferson Nickel (1938 to Date),4032,1947-D,MS
Jefferson Nickel (1938 to Date),84032,1947-D,FS
Jefferson Nickel (1938 to Date),4033,1947-S,MS
Jefferson Nickel (1938 to Date),84033,1947-S,FS
Jefferson Nickel (1938 to Date),4034,1948,MS
Jefferson Nickel (1938 to Date),84034,1948,FS
Jefferson Nickel (1938 to Date),4035,1948-D,MS
Jefferson Nickel (1938 to Date),84035,1948-D,FS
Jefferson Nickel (1938 to Date),4036,1948-S,MS
Jefferson Nickel (1938 to Date),84036,1948-S,FS
Jefferson Nickel (1938 to Date),4037,1949,MS
Jefferson Nickel (1938 to Date),84037,1949,FS
Jefferson Nickel (1938 to Date),4038,1949-D,MS
Jefferson Nickel (1938 to Date),84038,1949-D,FS
Jefferson Nickel (1938 to Date),4039,1949-D/S,MS
Jefferson Nickel (1938 to Date),84039,1949-D/S,FS
Jefferson Nickel (1938 to Date),4040,1949-S,MS
Jefferson Nickel (1938 to Date),84040,1949-S,FS
Jefferson Nickel (1938 to Date),4041,1950,MS
Jefferson Nickel (1938 to Date),84041,1950,FS
Jefferson Nickel (1938 to Date),4042,1950-D,MS
Jefferson Nickel (1938 to Date),84042,1950-D,FS
Jefferson Nickel (1938 to Date),4043,1951,MS
Jefferson Nickel (1938 to Date),84043,1951,FS
Jefferson Nickel (1938 to Date),4044,1951-D,MS
Jefferson Nickel (1938 to Date),84044,1951-D,FS
Jefferson Nickel (1938 to Date),4045,1951-S,MS
Jefferson Nickel (1938 to Date),84045,1951-S,FS
Jefferson Nickel (1938 to Date),4046,1952,MS
Jefferson Nickel (1938 to Date),84046,1952,FS
Jefferson Nickel (1938 to Date),4047,1952-D,MS
Jefferson Nickel (1938 to Date),84047,1952-D,FS
Jefferson Nickel (1938 to Date),4048,1952-S,MS
Jefferson Nickel (1938 to Date),84048,1952-S,FS
Jefferson Nickel (1938 to Date),4049,1953,MS
Jefferson Nickel (1938 to Date),84049,1953,FS
Jefferson Nickel (1938 to Date),4050,1953-D,MS
Jefferson Nickel (1938 to Date),84050,1953-D,FS
Jefferson Nickel (1938 to Date),4051,1953-S,MS
Jefferson Nickel (1938 to Date),84051,1953-S,FS
Jefferson Nickel (1938 to Date),4052,1954,MS
Jefferson Nickel (1938 to Date),84052,1954,FS
Jefferson Nickel (1938 to Date),4053,1954-D,MS
Jefferson Nickel (1938 to Date),84053,1954-D,FS
Jefferson Nickel (1938 to Date),4054,1954-S,MS
Jefferson Nickel (1938 to Date),84054,1954-S,FS
Jefferson Nickel (1938 to Date),4055,1954-S/D,MS
Jefferson Nickel (1938 to Date),4056,1955,MS
Jefferson Nickel (1938 to Date),84056,1955,FS
Jefferson Nickel (1938 to Date),4057,1955-D,MS
Jefferson Nickel (1938 to Date),84057,1955-D,FS
Jefferson Nickel (1938 to Date),4058,1955-D/S,MS
Jefferson Nickel (1938 to Date),4059,1956,MS
Jefferson Nickel (1938 to Date),84059,1956,FS
Jefferson Nickel (1938 to Date),4060,1956-D,MS
Jefferson Nickel (1938 to Date),84060,1956-D,FS
Jefferson Nickel (1938 to Date),4061,1957,MS
Jefferson Nickel (1938 to Date),84061,1957,FS
Jefferson Nickel (1938 to Date),4062,1957-D,MS
Jefferson Nickel (1938 to Date),84062,1957-D,FS
Jefferson Nickel (1938 to Date),4063,1958,MS
Jefferson Nickel (1938 to Date),84063,1958,FS
Jefferson Nickel (1938 to Date),4064,1958-D,MS
Jefferson Nickel (1938 to Date),84064,1958-D,FS
Jefferson Nickel (1938 to Date),4065,1959,MS
Jefferson Nickel (1938 to Date),84065,1959,FS
