series,pcgs_id,name,designation,mint_type
Proof Sets (1936 to Date),904750,"1936 Proof Set",PR,PR
Proof Sets (1936 to Date),904751,"1937 Proof Set",PR,PR
Proof Sets (1936 to Date),904752,"1938 Proof Set",PR,PR
Proof Sets (1936 to Date),904753,"1939 Proof Set",PR,PR
Proof Sets (1936 to Date),904754,"1940 Proof Set",PR,PR
Proof Sets (1936 to Date),904755,"1941 Proof Set",PR,PR
Proof Sets (1936 to Date),904756,"1942 Proof Set",PR,PR
Proof Sets (1936 to Date),904757,"1942 Proof Set, 6 Piece",PR,PR
Proof Sets (1936 to Date),904758,"1950 Proof Set",PR,PR
Proof Sets (1936 to Date),904759,"1951 Proof Set",PR,PR
Proof Sets (1936 to Date),904760,"1952 Proof Set",PR,PR
Proof Sets (1936 to Date),904761,"1953 Proof Set",PR,PR
Proof Sets (1936 to Date),904762,"1954 Proof Set",PR,PR
Proof Sets (1936 to Date),904763,"1955 Proof Set, Box",PR,PR
Proof Sets (1936 to Date),904764,"1955 Proof Set, Flat Pack",PR,PR
Proof Sets (1936 to Date),904765,"1956 Proof Set",PR,PR
Proof Sets (1936 to Date),904766,"1957 Proof Set",PR,PR
Proof Sets (1936 to Date),904767,"1958 Proof Set",PR,PR
Proof Sets (1936 to Date),904768,"1959 Proof Set",PR,PR
Proof Sets (1936 to Date),904769,"1960 Proof Set,Large Date",PR,PR
Proof Sets (1936 to Date),904770,"1960 Proof Set,Small Date",PR,PR
Proof Sets (1936 to Date),904771,"1961 Proof Set",PR,PR
Proof Sets (1936 to Date),904772,"1962 Proof Set",PR,PR
Proof Sets (1936 to Date),904773,"1963 Proof Set",PR,PR
Proof Sets (1936 to Date),904774,"1964 Proof Set",PR,PR
Proof Sets (1936 to Date),904775,"1968-S Proof Set",PR,PR
Proof Sets (1936 to Date),904776,"1968-S Proof Set, No S",PR,PR
Proof Sets (1936 to Date),904777,"1969-S Proof Set",PR,PR
Proof Sets (1936 to Date),904780,"1970-S Proof Set, No S",PR,PR
Proof Sets (1936 to Date),904778,"1970-S Proof Set,Large Date",PR,PR
Proof Sets (1936 to Date),904779,"1970-S Proof Set,Small Date",PR,PR
Proof Sets (1936 to Date),904781,"1971-S Proof Set",PR,PR
Proof Sets (1936 to Date),904782,"1971-S Proof Set, No S",PR,PR
Proof Sets (1936 to Date),904783,"1972-S Proof Set",PR,PR
Proof Sets (1936 to Date),904784,"1973-S Proof Set",PR,PR
Proof Sets (1936 to Date),904785,"1974-S Proof Set",PR,PR
Proof Sets (1936 to Date),904786,"1975-S Proof Set",PR,PR
Proof Sets (1936 to Date),904787,"1975-S Proof Set, No S",PR,PR
Proof Sets (1936 to Date),904788,"1976-S Proof Set",PR,PR
Proof Sets (1936 to Date),904789,"1976-S Proof Set, Silver",PR,PR
Proof Sets (1936 to Date),904790,"1977-S Proof Set",PR,PR
Proof Sets (1936 to Date),904791,"1978-S Proof Set",PR,PR
Proof Sets (1936 to Date),904792,"1979-S Proof Set, Type 1",PR,PR
Proof Sets (1936 to Date),904793,"1979-S Proof Set, Type 2",PR,PR
Proof Sets (1936 to Date),904794,"1980-S Proof Set",PR,PR
Proof Sets (1936 to Date),904795,"1981-S Proof Set, Type 1",PR,PR
Proof Sets (1936 to Date),904796,"1981-S Proof Set, Type 2",PR,PR
Proof Sets (1936 to Date),904797,"1982-S Proof Set",PR,PR
Proof Sets (1936 to Date),904798,"1983-S Proof Set",PR,PR
Proof Sets (1936 to Date),904800,"1983-S Proof Set, No S",PR,PR
Proof Sets (1936 to Date),904799,"1983-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904801,"1984-S Proof Set",PR,PR
Proof Sets (1936 to Date),904802,"1984-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904803,"1985-S Proof Set",PR,PR
Proof Sets (1936 to Date),904804,"1986-S Proof Set",PR,PR
Proof Sets (1936 to Date),904805,"1986-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904806,"1987-S Proof Set",PR,PR
Proof Sets (1936 to Date),904807,"1987-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904808,"1988-S Proof Set",PR,PR
Proof Sets (1936 to Date),904809,"1988-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904810,"1989-S Proof Set",PR,PR
Proof Sets (1936 to Date),904811,"1989-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904812,"1990-S Proof Set",PR,PR
Proof Sets (1936 to Date),904814,"1990-S Proof Set, No S",PR,PR
Proof Sets (1936 to Date),904813,"1990-S Proof Set, Prestige",PR,PR
Proof Sets (1936 to Date),904815,"1990-S Proof Set, Prestige, No S",PR,PR
