series,pcgs_id,name,designation,mint_type
Indian $2.5 (1908-1929),7939,1908,MS,MS
Indian $2.5 (1908-1929),7940,1909,MS,MS
Indian $2.5 (1908-1929),7941,1910,MS,MS
Indian $2.5 (1908-1929),7942,1911,MS,MS
Indian $2.5 (1908-1929),7943,1911-D Strong D,MS,MS
Indian $2.5 (1908-1929),7954,1911-D Weak D,MS,MS
Indian $2.5 (1908-1929),7944,1912,MS,MS
Indian $2.5 (1908-1929),7945,1913,MS,MS
Indian $2.5 (1908-1929),7946,1914,MS,MS
Indian $2.5 (1908-1929),7947,1914-D,MS,MS
Indian $2.5 (1908-1929),7948,1915,MS,MS
Indian $2.5 (1908-1929),7949,1925-D,MS,MS
Indian $2.5 (1908-1929),7950,1926,MS,MS
Indian $2.5 (1908-1929),7951,1927,MS,MS
Indian $2.5 (1908-1929),7952,1928,MS,MS
Indian $2.5 (1908-1929),7953,1929,MS,MS
Indian $2.5 (1908-1929),7957,1908,PR,PR
Indian $2.5 (1908-1929),7958,1909 less than 100 known,PR,PR
Indian $2.5 (1908-1929),7959,1910,PR,PR
Indian $2.5 (1908-1929),7960,1911,PR,PR
Indian $2.5 (1908-1929),7961,1912 about 100 known,PR,PR
Indian $2.5 (1908-1929),7962,1913 Less than 100 known,PR,PR
Indian $2.5 (1908-1929),7963,1914 70 to 90 known,PR,PR
Indian $2.5 (1908-1929),7964,1915 60 to 75 known,PR,PR
