series,pcgs_id,name,designation,mint_type
Barber Quarter (1892-1916),5601,1892,MS,MS
Barber Quarter (1892-1916),805570,1892 DDO FS-101,PL,MS
Barber Quarter (1892-1916),5602,1892-O,MS,MS
Barber Quarter (1892-1916),5603,1892-S,MS,MS
Barber Quarter (1892-1916),5604,1893,MS,MS
Barber Quarter (1892-1916),85604,1893,PL,MS
Barber Quarter (1892-1916),5605,1893-O,MS,MS
Barber Quarter (1892-1916),784208,1893-O,PL,MS
Barber Quarter (1892-1916),5606,1893-S,MS,MS
Barber Quarter (1892-1916),5607,1894,MS,MS
Barber Quarter (1892-1916),5608,1894-O,MS,MS
Barber Quarter (1892-1916),5609,1894-S,MS,MS
Barber Quarter (1892-1916),779044,1894-S,PL,MS
Barber Quarter (1892-1916),5610,1895,MS,MS
Barber Quarter (1892-1916),5611,1895-O,MS,MS
Barber Quarter (1892-1916),5612,1895-S,MS,MS
Barber Quarter (1892-1916),5613,1896,MS,MS
Barber Quarter (1892-1916),5614,1896-O,MS,MS
Barber Quarter (1892-1916),5615,1896-S,MS,MS
Barber Quarter (1892-1916),5616,1897,MS,MS
Barber Quarter (1892-1916),5617,1897-O,MS,MS
Barber Quarter (1892-1916),5618,1897-S,MS,MS
Barber Quarter (1892-1916),5619,1898,MS,MS
Barber Quarter (1892-1916),5620,1898-O,MS,MS
Barber Quarter (1892-1916),5621,1898-S,MS,MS
Barber Quarter (1892-1916),5622,1899,MS,MS
Barber Quarter (1892-1916),5623,1899-O,MS,MS
Barber Quarter (1892-1916),784207,1899-O,PL,MS
Barber Quarter (1892-1916),5624,1899-S,MS,MS
Barber Quarter (1892-1916),5625,1900,MS,MS
Barber Quarter (1892-1916),5626,1900-O,MS,MS
Barber Quarter (1892-1916),5627,1900-S,MS,MS
Barber Quarter (1892-1916),5628,1901,MS,MS
Barber Quarter (1892-1916),5629,1901-O,MS,MS
Barber Quarter (1892-1916),5630,1901-S,MS,MS
Barber Quarter (1892-1916),5631,1902,MS,MS
Barber Quarter (1892-1916),5632,1902-O,MS,MS
Barber Quarter (1892-1916),5633,1902-S,MS,MS
Barber Quarter (1892-1916),5634,1903,MS,MS
Barber Quarter (1892-1916),5635,1903-O,MS,MS
Barber Quarter (1892-1916),5636,1903-S,MS,MS
Barber Quarter (1892-1916),5637,1904,MS,MS
Barber Quarter (1892-1916),5638,1904-O,MS,MS
Barber Quarter (1892-1916),5639,1905,MS,MS
Barber Quarter (1892-1916),5640,1905-O,MS,MS
Barber Quarter (1892-1916),5641,1905-S,MS,MS
Barber Quarter (1892-1916),5642,1906,MS,MS
Barber Quarter (1892-1916),5643,1906-D,MS,MS
Barber Quarter (1892-1916),5644,1906-O,MS,MS
Barber Quarter (1892-1916),5645,1907,MS,MS
Barber Quarter (1892-1916),5646,1907-D,MS,MS
Barber Quarter (1892-1916),5647,1907-O,MS,MS
Barber Quarter (1892-1916),5648,1907-S,MS,MS
Barber Quarter (1892-1916),5649,1908,MS,MS
Barber Quarter (1892-1916),5650,1908-D,MS,MS
Barber Quarter (1892-1916),5651,1908-O,MS,MS
Barber Quarter (1892-1916),5652,1908-S,MS,MS
Barber Quarter (1892-1916),5653,1909,MS,MS
Barber Quarter (1892-1916),5654,1909-D,MS,MS
Barber Quarter (1892-1916),5655,1909-O,MS,MS
Barber Quarter (1892-1916),5656,1909-S,MS,MS
Barber Quarter (1892-1916),5657,1910,MS,MS
Barber Quarter (1892-1916),5658,1910-D,MS,MS
Barber Quarter (1892-1916),5659,1911,MS,MS
Barber Quarter (1892-1916),5660,1911-D,MS,MS
Barber Quarter (1892-1916),5661,1911-S,MS,MS
Barber Quarter (1892-1916),5662,1912,MS,MS
Barber Quarter (1892-1916),5663,1912-S,MS,MS
Barber Quarter (1892-1916),5664,1913,MS,MS
Barber Quarter (1892-1916),5665,1913-D,MS,MS
Barber Quarter (1892-1916),5666,1913-S,MS,MS
Barber Quarter (1892-1916),5667,1914,MS,MS
Barber Quarter (1892-1916),5668,1914-D,MS,MS
Barber Quarter (1892-1916),5669,1914-S,MS,MS
Barber Quarter (1892-1916),5670,1915,MS,MS
Barber Quarter (1892-1916),5671,1915-D,MS,MS
Barber Quarter (1892-1916),5672,1915-S,MS,MS
Barber Quarter (1892-1916),5673,1916,MS,MS
Barber Quarter (1892-1916),5674,1916-D,MS,MS
Barber Quarter (1892-1916),85674,1916-D,PL,MS
Barber Quarter (1892-1916),5678,1892,PR,PR
Barber Quarter (1892-1916),85678,1892,CAM,PR
Barber Quarter (1892-1916),95678,1892,DCAM,PR
Barber Quarter (1892-1916),5679,1893,PR,PR
Barber Quarter (1892-1916),85679,1893,CAM,PR
Barber Quarter (1892-1916),95679,1893,DCAM,PR
Barber Quarter (1892-1916),5680,1894,PR,PR
Barber Quarter (1892-1916),85680,1894,CAM,PR
Barber Quarter (1892-1916),95680,1894,DCAM,PR
Barber Quarter (1892-1916),5681,1895,PR,PR
Barber Quarter (1892-1916),85681,1895,CAM,PR
Barber Quarter (1892-1916),95681,1895,DCAM,PR
Barber Quarter (1892-1916),5682,1896,PR,PR
Barber Quarter (1892-1916),85682,1896,CAM,PR
