series,pcgs_id,name,designation,mint_type
5 oz. America the Beautiful Silver Quarters (2010 to Date),504965,2010 25C Hot Springs NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506576,2010 25C Hot Springs NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506577,2010 25C Hot Springs NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),504966,2010 25C Yellowstone NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506584,2010 25C Yellowstone NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506585,2010 25C Yellowstone NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),504967,2010 25C Yosemite NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506588,2010 25C Yosemite NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506589,2010 25C Yosemite NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),504968,2010 25C Grand Canyon NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506572,2010 25C Grand Canyon NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506573,2010 25C Grand Canyon NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),504969,2010 25C Mount Hood NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506580,2010 25C Mount Hood NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),506581,2010 25C Mount Hood NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507365,2011 25C Gettysburg NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507366,2011 25C Gettysburg NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507367,2011 25C Gettysburg NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507374,2011 25C Glacier NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507375,2011 25C Glacier NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507376,2011 25C Glacier NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507377,2011 25C Olympic NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507378,2011 25C Olympic NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507379,2011 25C Olympic NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507384,2011 25C Vicksburg NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507385,2011 25C Vicksburg NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507386,2011 25C Vicksburg NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507392,2011 25C Chickasaw NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507393,2011 25C Chickasaw NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),507394,2011 25C Chickasaw NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512950,2012 25C El Yunque NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512963,2012 25C El Yunque NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512962,2012 25C El Yunque NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512952,2012 25C Chaco Culture NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512966,2012 25C Chaco Culture NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512967,2012 25C Chaco Culture NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512954,2012 25C Acadia NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512970,2012 25C Acadia NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512971,2012 25C Acadia NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512957,2012 25C Hawaii Volcanoes NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512974,2012 25C Hawaii Volcanoes NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512975,2012 25C Hawaii Volcanoes NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512959,2012 25C Denali NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512978,2012 25C Denali NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),512979,2012 25C Denali NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518135,2013 25C White Mountain NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518136,2013 25C White Mountain NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518137,2013 25C White Mountain NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518142,2013 25C Perry's Memorial NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518143,2013 25C Perry's Memorial NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518144,2013 25C Perry's Memorial NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518150,2013 25C Great Basin NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518151,2013 25C Great Basin NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518152,2013 25C Great Basin NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518157,2013 25C Fort McHenry NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518158,2013 25C Fort McHenry NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518159,2013 25C Fort McHenry NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518164,2013 25C Mount Rushmore NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518165,2013 25C Mount Rushmore NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),518166,2013 25C Mount Rushmore NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),526998,2014 25C Great Smoky Mtns NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),526999,2014 25C Great Smoky Mtns NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527000,2014 25C Great Smoky Mtns NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527004,2014 25C Shenandoah NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527005,2014 25C Shenandoah NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527006,2014 25C Shenandoah NP 5 oz Silver,DMPL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527010,2014 25C Arches NP 5 oz Silver,MS,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527011,2014 25C Arches NP 5 oz Silver,PL,MS
5 oz. America the Beautiful Silver Quarters (2010 to Date),527012,2014 25C Arches NP 5 oz Silver,DMPL,MS
