series,pcgs_id,name,designation,mint_type
Silver Eagles (1986 to Date),9801,1986 $1,MS,MS
Silver Eagles (1986 to Date),9808,1987 $1,MS,MS
Silver Eagles (1986 to Date),922593,1987-(S) $1 Silver Eagle Struck at San Francisco First Strike David Hall,MS,MS
Silver Eagles (1986 to Date),9816,1988 $1,MS,MS
Silver Eagles (1986 to Date),9826,1989 $1,MS,MS
Silver Eagles (1986 to Date),9836,1990 $1,MS,MS
Silver Eagles (1986 to Date),9846,1991 $1,MS,MS
Silver Eagles (1986 to Date),9856,1992 $1,MS,MS
Silver Eagles (1986 to Date),9866,1993 $1,MS,MS
Silver Eagles (1986 to Date),9876,1994 $1,MS,MS
Silver Eagles (1986 to Date),9886,1995 $1,MS,MS
Silver Eagles (1986 to Date),9900,1996 $1,MS,MS
Silver Eagles (1986 to Date),9912,1997 $1,MS,MS
Silver Eagles (1986 to Date),9929,1998 $1,MS,MS
Silver Eagles (1986 to Date),9947,1999 $1,MS,MS
Silver Eagles (1986 to Date),9949,2000 $1,MS,MS
Silver Eagles (1986 to Date),9969,2000 $1 Millennium Set,MS,MS
Silver Eagles (1986 to Date),9954,2001 $1,MS,MS
Silver Eagles (1986 to Date),9959,2002 $1,MS,MS
Silver Eagles (1986 to Date),9964,2003 $1,MS,MS
Silver Eagles (1986 to Date),9970,2004 $1,MS,MS
Silver Eagles (1986 to Date),9975,2005 $1,MS,MS
Silver Eagles (1986 to Date),9981,2006 $1,MS,MS
Silver Eagles (1986 to Date),9997,2007 $1,MS,MS
Silver Eagles (1986 to Date),393094,2008 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),404423,2009 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),415532,2010 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),505220,2011 $1 Silver Eagle 25th Anniversary,MS,MS
Silver Eagles (1986 to Date),509185,2011 $1 Silver Eagle 25th Anniversary Set,MS,MS
Silver Eagles (1986 to Date),509299,2011-S $1 Silver Eagle 25th Anniversary Set,MS,MS
Silver Eagles (1986 to Date),508069,2011-(S) $1 Silver Eagle Struck at San Francisco,MS,MS
Silver Eagles (1986 to Date),508071,2011-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),509770,2012 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),509810,2012-(S) $1 Silver Eagle Struck at San Francisco,MS,MS
Silver Eagles (1986 to Date),509812,2012-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),515913,2013 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),515917,2013-(S) $1 Silver Eagle Struck at San Francisco,MS,MS
Silver Eagles (1986 to Date),515915,2013-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),521459,2014 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),521927,2014-(S) $1 Silver Eagle Struck at San Francisco,MS,MS
Silver Eagles (1986 to Date),521925,2014-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),535696,2015 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),537242,2015-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),570522,2016 $1 Silver Eagle 30th Anniversary,MS,MS
Silver Eagles (1986 to Date),624786,2016-(P) $1 Silver Eagle Struck at Philadelphia,MS,MS
Silver Eagles (1986 to Date),593534,2016-(S) $1 Silver 30th Anniversary Struck at San Francisco,MS,MS
Silver Eagles (1986 to Date),570523,2016-(W) $1 Silver 30th Anniversary Struck at West Point,MS,MS
Silver Eagles (1986 to Date),616690,2017 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),656449,2018 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),687168,2019 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),689679,2019-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),809283,2020 $1 Silver Eagle,MS,MS
Silver Eagles (1986 to Date),817903,2020-(P) $1 Silver Eagle - Emergency Issue Struck at Philadelphia First Day of Issue,MS,MS
Silver Eagles (1986 to Date),817902,2020-(P) $1 Silver Eagle - Emergency Issue Struck at Philadelphia First Strike,MS,MS
Silver Eagles (1986 to Date),810883,2020-(W) $1 Silver Eagle Struck at West Point,MS,MS
Silver Eagles (1986 to Date),853522,2021-(P) $1 Silver Eagle -T1 Emergency Issue Struck at Philadelphia,MS,MS
Silver Eagles (1986 to Date),837645,2021 $1 Silver Eagle - Type 1,MS,MS
Silver Eagles (1986 to Date),838919,2021-(S) $1 Silver Eagle - T1 Emergency Issue Struck at San Francisco,MS,MS
