series,pcgs_id,name,designation,mint_type
Three Cent Nickel (1865-1889),3731,1865,MS,MS
Three Cent Nickel (1865-1889),3732,1866,MS,MS
Three Cent Nickel (1865-1889),3733,1867,MS,MS
Three Cent Nickel (1865-1889),83733,1867,PL,MS
Three Cent Nickel (1865-1889),3734,1868,MS,MS
Three Cent Nickel (1865-1889),3735,1869,MS,MS
Three Cent Nickel (1865-1889),3736,1870,MS,MS
Three Cent Nickel (1865-1889),3737,1871,MS,MS
Three Cent Nickel (1865-1889),3738,1872,MS,MS
Three Cent Nickel (1865-1889),3739,1873 Closed 3,MS,MS
Three Cent Nickel (1865-1889),3740,1873 Open 3,MS,MS
Three Cent Nickel (1865-1889),3742,1874,MS,MS
Three Cent Nickel (1865-1889),3743,1875,MS,MS
Three Cent Nickel (1865-1889),3744,1876,MS,MS
Three Cent Nickel (1865-1889),3747,1879,MS,MS
Three Cent Nickel (1865-1889),3748,1880,MS,MS
Three Cent Nickel (1865-1889),3749,1881,MS,MS
Three Cent Nickel (1865-1889),3750,1882,MS,MS
Three Cent Nickel (1865-1889),3751,1883,MS,MS
Three Cent Nickel (1865-1889),3752,1884,MS,MS
Three Cent Nickel (1865-1889),3753,1885,MS,MS
Three Cent Nickel (1865-1889),3755,1887,MS,MS
Three Cent Nickel (1865-1889),3757,1888,MS,MS
Three Cent Nickel (1865-1889),3758,1889,MS,MS
Three Cent Nickel (1865-1889),3761,1865,PR,PR
Three Cent Nickel (1865-1889),83761,1865,CAM,PR
Three Cent Nickel (1865-1889),93761,1865,DCAM,PR
Three Cent Nickel (1865-1889),3762,1866,PR,PR
Three Cent Nickel (1865-1889),83762,1866,CAM,PR
Three Cent Nickel (1865-1889),93762,1866,DCAM,PR
Three Cent Nickel (1865-1889),3763,1867,PR,PR
Three Cent Nickel (1865-1889),83763,1867,CAM,PR
Three Cent Nickel (1865-1889),93763,1867,DCAM,PR
Three Cent Nickel (1865-1889),3764,1868,PR,PR
Three Cent Nickel (1865-1889),83764,1868,CAM,PR
Three Cent Nickel (1865-1889),93764,1868,DCAM,PR
Three Cent Nickel (1865-1889),3765,1869,PR,PR
Three Cent Nickel (1865-1889),83765,1869,CAM,PR
Three Cent Nickel (1865-1889),93765,1869,DCAM,PR
Three Cent Nickel (1865-1889),3766,1870,PR,PR
Three Cent Nickel (1865-1889),83766,1870,CAM,PR
Three Cent Nickel (1865-1889),93766,1870,DCAM,PR
Three Cent Nickel (1865-1889),3767,1871,PR,PR
Three Cent Nickel (1865-1889),83767,1871,CAM,PR
Three Cent Nickel (1865-1889),93767,1871,DCAM,PR
Three Cent Nickel (1865-1889),3768,1872,PR,PR
Three Cent Nickel (1865-1889),83768,1872,CAM,PR
Three Cent Nickel (1865-1889),93768,1872,DCAM,PR
Three Cent Nickel (1865-1889),3769,1873 Closed 3,PR,PR
Three Cent Nickel (1865-1889),83769,1873 Closed 3,CAM,PR
Three Cent Nickel (1865-1889),3770,1874,PR,PR
