series,pcgs_id,name,designation,mint_type
Twenty Cent (1875-1878),5296,1875,MS,MS
Twenty Cent (1875-1878),5297,1875-CC,MS,MS
Twenty Cent (1875-1878),5298,1875-S,MS,MS
Twenty Cent (1875-1878),85298,1875-S,PL,MS
Twenty Cent (1875-1878),5299,1876,MS,MS
Twenty Cent (1875-1878),85299,1876,PL,MS
Twenty Cent (1875-1878),5300,1876-CC Est. 20 known,MS,MS
Twenty Cent (1875-1878),5303,1875,PR,PR
Twenty Cent (1875-1878),85303,1875,CAM,PR
Twenty Cent (1875-1878),95303,1875,DCAM,PR
Twenty Cent (1875-1878),5304,1876,PR,PR
Twenty Cent (1875-1878),85304,1876,CAM,PR
Twenty Cent (1875-1878),95304,1876,DCAM,PR
Twenty Cent (1875-1878),5305,1877,PR,PR
Twenty Cent (1875-1878),85305,1877,CAM,PR
Twenty Cent (1875-1878),95305,1877,DCAM,PR
Twenty Cent (1875-1878),5306,1878,PR,PR
Twenty Cent (1875-1878),85306,1878,CAM,PR
Twenty Cent (1875-1878),95306,1878,DCAM,PR
