series,pcgs_id,name,designation,mint_type
Two Cent (1864-1873),3579,1864 Small Motto,BN,MS
Two Cent (1864-1873),3580,1864 Small Motto,RB,MS
Two Cent (1864-1873),3581,1864 Small Motto,RD,MS
Two Cent (1864-1873),3576,1864 Large Motto,BN,MS
Two Cent (1864-1873),3577,1864 Large Motto,RB,MS
Two Cent (1864-1873),3578,1864 Large Motto,RD,MS
Two Cent (1864-1873),3582,1865,BN,MS
Two Cent (1864-1873),3583,1865,RB,MS
Two Cent (1864-1873),3584,1865,RD,MS
Two Cent (1864-1873),38247,1865 Plain 5,BN,MS
Two Cent (1864-1873),38248,1865 Plain 5,RB,MS
Two Cent (1864-1873),38249,1865 Plain 5,RD,MS
Two Cent (1864-1873),38256,1865 Fancy 5,BN,MS
Two Cent (1864-1873),38257,1865 Fancy 5,RB,MS
Two Cent (1864-1873),38258,1865 Fancy 5,RD,MS
Two Cent (1864-1873),3588,1866,BN,MS
Two Cent (1864-1873),3589,1866,RB,MS
Two Cent (1864-1873),3590,1866,RD,MS
Two Cent (1864-1873),3591,1867,BN,MS
Two Cent (1864-1873),3592,1867,RB,MS
Two Cent (1864-1873),3593,1867,RD,MS
Two Cent (1864-1873),3594,1867 Doubled Die Obverse,BN,MS
Two Cent (1864-1873),3595,1867 Doubled Die Obverse,RB,MS
Two Cent (1864-1873),3596,1867 Doubled Die Obverse,RD,MS
Two Cent (1864-1873),3597,1868,BN,MS
Two Cent (1864-1873),3598,1868,RB,MS
Two Cent (1864-1873),3599,1868,RD,MS
Two Cent (1864-1873),3603,1869,BN,MS
Two Cent (1864-1873),3604,1869,RB,MS
Two Cent (1864-1873),3605,1869,RD,MS
Two Cent (1864-1873),3606,1870,BN,MS
Two Cent (1864-1873),3607,1870,RB,MS
Two Cent (1864-1873),3608,1870,RD,MS
Two Cent (1864-1873),3609,1871,BN,MS
Two Cent (1864-1873),3610,1871,RB,MS
Two Cent (1864-1873),3611,1871,RD,MS
Two Cent (1864-1873),3612,1872,BN,MS
Two Cent (1864-1873),3613,1872,RB,MS
Two Cent (1864-1873),3614,1872,RD,MS
Two Cent (1864-1873),3624,"1864 Small Motto 20 to 30 known",BN,PR
Two Cent (1864-1873),3625,1864 Small Motto,RB,PR
Two Cent (1864-1873),3626,1864 Small Motto,RD,PR
Two Cent (1864-1873),83626,1864 Small Motto,CAM,PR
Two Cent (1864-1873),3621,1864 Large Motto,BN,PR
Two Cent (1864-1873),3622,1864 Large Motto,RB,PR
Two Cent (1864-1873),3623,1864 Large Motto,RD,PR
Two Cent (1864-1873),83623,1864 Large Motto,CAM,PR
Two Cent (1864-1873),3627,1865,BN,PR
Two Cent (1864-1873),3628,1865,RB,PR
Two Cent (1864-1873),3629,1865,RD,PR
Two Cent (1864-1873),83629,1865,CAM,PR
Two Cent (1864-1873),3630,1866,BN,PR
Two Cent (1864-1873),3631,1866,RB,PR
Two Cent (1864-1873),3632,1866,RD,PR
Two Cent (1864-1873),83632,1866,CAM,PR
Two Cent (1864-1873),93632,1866,DCAM,PR
Two Cent (1864-1873),3633,1867,BN,PR
Two Cent (1864-1873),3634,1867,RB,PR
Two Cent (1864-1873),3635,1867,RD,PR
Two Cent (1864-1873),83635,1867,CAM,PR
Two Cent (1864-1873),3636,1868,BN,PR
Two Cent (1864-1873),3637,1868,RB,PR
Two Cent (1864-1873),3638,1868,RD,PR
Two Cent (1864-1873),83638,1868,CAM,PR
Two Cent (1864-1873),3639,1869,BN,PR
Two Cent (1864-1873),3640,1869,RB,PR
Two Cent (1864-1873),3641,1869,RD,PR
Two Cent (1864-1873),83641,1869,CAM,PR
Two Cent (1864-1873),3642,1870,BN,PR
Two Cent (1864-1873),3643,1870,RB,PR
Two Cent (1864-1873),3644,1870,RD,PR
Two Cent (1864-1873),83644,1870,CAM,PR
Two Cent (1864-1873),3645,1871,BN,PR
Two Cent (1864-1873),3646,1871,RB,PR
Two Cent (1864-1873),3647,1871,RD,PR
Two Cent (1864-1873),83647,1871,CAM,PR
Two Cent (1864-1873),3648,1872,BN,PR
Two Cent (1864-1873),3649,1872,RB,PR
Two Cent (1864-1873),3650,1872,RD,PR
Two Cent (1864-1873),83650,1872,CAM,PR
Two Cent (1864-1873),3651,1873 Closed 3,BN,PR
Two Cent (1864-1873),3652,1873 Closed 3,RB,PR
Two Cent (1864-1873),3653,1873 Closed 3,RD,PR
Two Cent (1864-1873),83653,1873 Closed 3,CAM,PR
Two Cent (1864-1873),3654,1873 Open 3,BN,PR
Two Cent (1864-1873),3655,1873 Open 3,RB,PR
Two Cent (1864-1873),3656,1873 Open 3,RD,PR
